#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5664.910027847901    All      0.8673673955948994         0.18964315589009573        -1.5091969077205336        -0.28810560783795336       
Zeropoint     AB|PS|PS_g                3682.906598204194    All      -0.5419808001143334        0.3540776036890847         0.13089898451424942        0.2977171220462118         
Zeropoint     AB|PS|PS_z                6510.363898708461    All      0.9504835336754633         -0.07438262317265298       0.5204893790742848         -0.310605573913661         
Zeropoint     AB|PS|PS_r                4677.041362228449    All      -0.2816530030284129        0.5297168332628388         0.8542294108656923         0.3024101842279647         
Check         All|All|All               All                  All      0.9942171261276165         0.9990549696693662         -0.0035791332663070996     0.0014161245225621233      
Lambda        AB|PS|PS_i                5664.910027847901    All      -9.806644728381917e-05     -3.503510438666014e-05     -1.5475275493484643e-05    1.9840791581287175e-05     
Lambda        AB|PS|PS_g                3682.906598204194    All      -0.0011201951775491896     0.0005680092492466205      -0.0007597925119710282     0.0005159976718748467      
Lambda        AB|PS|PS_z                6510.363898708461    All      -0.0003347210851898876     -1.4540356444322607e-05    -0.0007246216252912457     7.195686191552585e-05      
Lambda        AB|PS|PS_r                4677.041362228449    All      -2.6415105041359302e-05    -4.8667478767949887e-05    -0.0003202496928907974     -2.1539603144179097e-05    
MWEBV         All|All|All               All                  All      -0.4445303600042667        -2.794606448145842         0.0160565429464965         -0.7647805673478519        
Redshift      All|All|All               All                  All      6.159538951066172          0.9131210519644384         7.977129496684687          -1.352948259953072         
