#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5664.910027847901    All      0.9267085171578007         0.2521894818384496        -1.204862964869282         -0.27348054120731036       
Zeropoint     AB|PS|PS_g                3682.906598204194    All      -0.5628964741512591        0.3343642228498922        -0.10557004688974919       0.2875562216864025         
Zeropoint     AB|PS|PS_z                6510.363898708461    All      0.940181686677683          -0.07121439899862025      0.7092990850892973         -0.2977922185729868        
Zeropoint     AB|PS|PS_r                4677.041362228449    All      -0.30890266895854235       0.4835178163947518        0.5984952785043103         0.2848255174294413         
Check         All|All|All               All                  All      0.9950910607256822         0.9988571220844733        -0.002638648165423474      0.0011089793355466004      
Lambda        AB|PS|PS_i                5664.910027847901    All      -0.00016656574242823605    -4.547753288467233e-05    -1.2294827721402312e-05    3.889375183900052e-05      
Lambda        AB|PS|PS_g                3682.906598204194    All      -0.0009977321217731353     0.0005639978846469218     -0.00037175987483033143    0.0004921169066997726      
Lambda        AB|PS|PS_z                6510.363898708461    All      -0.0002614833374892223     -4.737888382133831e-06    -0.0005226092193243998     6.03087902474416e-05       
Lambda        AB|PS|PS_r                4677.041362228449    All      -7.273481881113513e-06     -6.421270980817472e-05    -0.0003187864172706219     -3.2772953450533034e-05    
MWEBV         All|All|All               All                  All      -0.45435589135530696       -2.7917894616567906       -0.006166071520667459      -0.7616541765797443        
Redshift      All|All|All               All                  All      5.516634293566597          0.8705330979953629        4.451389114644005          -1.3147429598908813        
