#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3047.0665759837425    All      -0.08801872802232834       0.027814728840347414      0.07152301988908594        0.040922511592013204       
Zeropoint     AB|SDSS|SDSS_i            6349.082858504811     All      1.073361069033912          0.07815057985585128       0.2335188238900443         -0.31375192518082234       
Zeropoint     AB|SDSS|SDSS_z            7548.530267769566     All      0.07945512866887365        0.010057614978542517      0.19223076470979983        -0.014026677174295947      
Zeropoint     AB|SDSS|SDSS_g            4006.7330294093435    All      -0.9231087662664278        0.6093232177731167        -0.4244337189218239        0.4802229851945455         
Zeropoint     AB|SDSS|SDSS_r            5235.6022832348235    All      0.8479797370141275         0.27476773983803326       -0.07038285066205408       -0.18985486896312564       
Check         All|All|All               All                   All      0.9896684404281569         1.0001138812858912        0.0024560389050520826      0.00351202546831475        
Lambda        AB|SDSS|SDSS_u            3047.0665759837425    All      -8.283273973760224e-05     2.5031706142594516e-05    6.628335249962948e-05      3.809292025167622e-05      
Lambda        AB|SDSS|SDSS_i            6349.082858504811     All      -0.00030657400852517443    -4.349696429245072e-05    -0.0008569959015452719     4.744905723811774e-05      
Lambda        AB|SDSS|SDSS_z            7548.530267769566     All      7.753812485430906e-06      6.647807039836936e-06     0.00014671991421215738     6.187173550967946e-06      
Lambda        AB|SDSS|SDSS_g            4006.7330294093435    All      -0.0008813496330283188     0.0004375238447987005     -0.0014076440489921658     0.0003667837925456328      
Lambda        AB|SDSS|SDSS_r            5235.6022832348235    All      0.00037064268507374883     8.26590103094743e-05      -0.00029507109225200025    -0.00010697342488690507    
MWEBV         All|All|All               All                   All      -0.7122513531131673        -3.2702711397734063       0.20309220486799395        -0.8241681285320275        
Redshift      All|All|All               All                   All      4.966925593452837          -0.5583432117269638       -2.7491274543280264        -1.9224427577924235        
