#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3047.0665759837425    All      -0.08532896268818291       0.03270536543968916        0.11547384212038944        0.04360073110695942       
Zeropoint     AB|SDSS|SDSS_i            6349.082858504811     All      0.9540166958911381         0.06618587658984154        0.08755773317275022        -0.2852884071194234       
Zeropoint     AB|SDSS|SDSS_z            7548.530267769566     All      0.08935550876887216        0.00739733556152089        0.13115421500394236        -0.020843663111339145     
Zeropoint     AB|SDSS|SDSS_g            4006.7330294093435    All      -0.8552901449550433        0.5745075540756872         -0.4591552862019501        0.4452421579221705        
Zeropoint     AB|SDSS|SDSS_r            5235.6022832348235    All      0.8884003298769275         0.3193122562668904         0.13144079976806108        -0.17950510880840806      
Check         All|All|All               All                   All      0.9911534268937116         1.0001083879336292         0.006471303863192973       0.00320570998995931       
Lambda        AB|SDSS|SDSS_u            3047.0665759837425    All      -8.451780212110145e-05     3.2735639620046195e-05     0.00011962348852862263     4.3531550380967086e-05    
Lambda        AB|SDSS|SDSS_i            6349.082858504811     All      -0.000271401743662816      -1.5028040643654714e-05    -4.0572069704571505e-05    8.169880438750326e-05     
Lambda        AB|SDSS|SDSS_z            7548.530267769566     All      -1.2389008995914361e-05    -6.775900284852988e-07     -1.118673479332775e-05     3.315581856919597e-06     
Lambda        AB|SDSS|SDSS_g            4006.7330294093435    All      -0.0007983698188636604     0.0003591623277240763      -0.0017002977023944936     0.00030116982454713066    
Lambda        AB|SDSS|SDSS_r            5235.6022832348235    All      0.000274613966893814       8.401896194728293e-05      -0.00017763490112764478    -7.001009329023399e-05    
MWEBV         All|All|All               All                   All      -0.7387646345551109        -3.249843099660943         0.31842254832403505        -0.8037311322428141       
Redshift      All|All|All               All                   All      4.8826740485513085         -0.5120902618308776        -5.01113422432084          -1.9808761234899483       
