#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5459.002107644748     All      0.5990174183982775        0.27179314903662544       -0.6721607064679502        -0.13658315509699065      
Zeropoint     AB|PS|PS_z                7598.840269321489     All      0.381787899349535         -0.02884298467709101      0.24125633271129265        -0.12298982620364135      
Zeropoint     AB|PS|PS_g                4298.656634560125     All      -0.9005853057028976       0.8238720496521523        0.2904999739984704         0.5746761732224236        
Zeropoint     AB|PS|PS_i                6612.0338450256895    All      0.9179497282799158        -0.0681547612085609       0.14307218576076197        -0.3148220195567597       
Check         All|All|All               All                   All      0.9981697403248306        0.9986674528031259        0.002667786002574779       0.0002811723650318898     
Lambda        AB|PS|PS_r                5459.002107644748     All      0.00011719759585219472    4.005056062872802e-05     -0.00044421073914227446    -4.495241253614277e-05    
Lambda        AB|PS|PS_z                7598.840269321489     All      -5.771749608766409e-05    2.8081521741900784e-06    -2.1636619869186275e-05    1.874965190220705e-05     
Lambda        AB|PS|PS_g                4298.656634560125     All      -0.0005085796820083198    0.0002278711965821417     -0.000995048318664702      0.00019548184330078088    
Lambda        AB|PS|PS_i                6612.0338450256895    All      -0.0003612774422265283    -8.924039839956283e-07    -0.000343121859146111      0.00010207731059919071    
MWEBV         All|All|All               All                   All      -0.5643571392220159       -3.507208037775733        0.03665553027570878        -0.9569475866143144       
Redshift      All|All|All               All                   All      3.8111035521648438        1.0077650891751944        -2.318686448862539         -1.016611891362807        
