#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5459.002107644748     All      0.5151805622125774         0.28418265293055356       -0.5366430248287838        -0.09919153214448441      
Zeropoint     AB|PS|PS_z                7598.840269321489     All      0.44191451455207664        -0.04210707719849438      0.22798075275806043        -0.14748802235267647      
Zeropoint     AB|PS|PS_g                4298.656634560125     All      -0.9185175069767957        0.8317897444143796        0.15072159494814216        0.5768586677195671        
Zeropoint     AB|PS|PS_i                6612.0338450256895    All      0.959132524638232          -0.07517067769065022      0.16064858938134322        -0.32973757185134794      
Check         All|All|All               All                   All      0.9977100944260902         0.9986946424557885        0.002707912258761991       0.00044154137105822944    
Lambda        AB|PS|PS_r                5459.002107644748     All      0.00015476526564288598     4.042182549980523e-05     -0.0004216147771751733     -5.606015134074251e-05    
Lambda        AB|PS|PS_z                7598.840269321489     All      -3.0233855008781545e-05    5.506950957326929e-07     -1.880458266254401e-05     9.188378592751046e-06     
Lambda        AB|PS|PS_g                4298.656634560125     All      -0.0005965437565837492     0.00031576171115385864    -0.0010086232492442747     0.00025215768162577924    
Lambda        AB|PS|PS_i                6612.0338450256895    All      -0.0002980981661593804     1.6131684770849675e-05    -0.00015264147121362437    9.554331249966241e-05     
MWEBV         All|All|All               All                   All      -0.5627001028867014        -3.509276296303554        0.03831619513523898        -0.9580869298642753       
Redshift      All|All|All               All                   All      3.5367811323480955         0.9519582390460357        -1.50769533775409          -0.9092433728255279       
