#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5671.475591434674     All      0.8020151909758511         0.23532504129519793       -1.029994676158573         -0.23055355710566047      
Zeropoint     AB|SDSS|SDSS_i            6877.6554275926255    All      0.7760453846629305         0.03835398821010472       0.9131835177801341         -0.19953917085242587      
Zeropoint     AB|SDSS|SDSS_z            8176.958991317791     All      0.17052708292265648        -0.0036574009744327896    0.16818624468438537        -0.049232237255807325     
Zeropoint     AB|SDSS|SDSS_g            4340.300761663297     All      -0.577561132253885         0.6039252254939953        -0.3059541910719428        0.3711956461143401        
Zeropoint     AB|SDSS|SDSS_u            3300.7403496834963    All      -0.17782497618502108       0.12654724710028376       0.26251744570206503        0.11085899457540319       
Check         All|All|All               All                   All      0.9932015501225321         1.000494101125149         0.007938340936068655       0.0027296754758495967     
Lambda        AB|SDSS|SDSS_r            5671.475591434674     All      -0.0001481724180065576     -4.526785300742849e-05    0.00014677721895664858     4.006939543849837e-05     
Lambda        AB|SDSS|SDSS_i            6877.6554275926255    All      -0.0005394216362543641     -3.27331047004854e-05     -0.0007267953578828129     0.00013261158551268186    
Lambda        AB|SDSS|SDSS_z            8176.958991317791     All      -1.1640358651812596e-05    9.541050232298619e-07     -3.2333350811749467e-06    3.958142270007e-06        
Lambda        AB|SDSS|SDSS_g            4340.300761663297     All      -0.0002890144750385035     6.209255403602367e-05     -0.0015711657843595344     4.425319759520226e-05     
Lambda        AB|SDSS|SDSS_u            3300.7403496834963    All      -0.00012194804024751255    8.23624358003895e-05      0.00013692075610880053     7.26607881546605e-05      
MWEBV         All|All|All               All                   All      -0.8763708644666464        -3.5594149596665403       0.3939071967294805         -0.8563774622957508       
Redshift      All|All|All               All                   All      6.377103370365723          1.0210659867874838        0.6873158508338075         -1.7139658345322502       
