#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5671.475591434674     All      0.7749074647559017         0.23777128483235543        -0.7358631542063732       -0.20780111793153727      
Zeropoint     AB|SDSS|SDSS_i            6877.6554275926255    All      0.7370988552092523         0.047225682918039524       0.7997425345006359        -0.18902555213831454      
Zeropoint     AB|SDSS|SDSS_z            8176.958991317791     All      0.21978624189567963        -0.0006791043189124935     0.1860769492380232        -0.06350905673256774      
Zeropoint     AB|SDSS|SDSS_g            4340.300761663297     All      -0.5107427360490626        0.5777776500412557         -0.41856259415538055      0.33588837481792544       
Zeropoint     AB|SDSS|SDSS_u            3300.7403496834963    All      -0.2267965684474018        0.13834564787202908        0.18947194580138937       0.1273940954052838        
Check         All|All|All               All                   All      0.9942532573643694         1.0004411613447672         0.020865681178294793      0.002946743420789655      
Lambda        AB|SDSS|SDSS_r            5671.475591434674     All      -0.00021236470174826574    -6.0967337468752806e-05    0.00034073235958944443    6.452042265252992e-05     
Lambda        AB|SDSS|SDSS_i            6877.6554275926255    All      -0.0006238062084408742     -3.874691269349704e-05     -0.0006552240191698116    0.00016133342186355475    
Lambda        AB|SDSS|SDSS_z            8176.958991317791     All      -1.1291489619061643e-05    3.4460670670030226e-06     3.487640137032347e-05     6.356880675504555e-06     
Lambda        AB|SDSS|SDSS_g            4340.300761663297     All      -0.00028043599737799133    6.606575949610588e-05      -0.0015056784287444003    4.56755088391252e-05      
Lambda        AB|SDSS|SDSS_u            3300.7403496834963    All      -0.0001403461485264598     7.725095421077254e-05      4.8050418419699485e-05    7.302280458004273e-05     
MWEBV         All|All|All               All                   All      -0.9273038466082446        -3.5470930869914596        0.34727233095011023       -0.8378543749325895       
Redshift      All|All|All               All                   All      7.142305805169914          1.436293512774256          1.458314750200418         -1.7935580363577202       
