#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4287.40949527556     All      -0.7716226479303016        0.7658293443029152        0.6525960149264348         0.5299210574195891         
Zeropoint     AB|PS|PS_i                6594.73391345838     All      1.0680252252858686         -0.08097783199527697      0.648167058336041          -0.3453433779443349        
Zeropoint     AB|PS|PS_z                7578.958426649271    All      0.41379484627254387        -0.06992778551069279      0.14362196207887978        -0.15115518663792513       
Zeropoint     AB|PS|PS_r                5444.719004275714    All      0.283771682975653          0.382724503809051         -1.4622301315652368        -0.03302042579512686       
Check         All|All|All               All                  All      0.9939691066037639         0.9976482306059964        -0.017845096223881196      0.00040206704220217826     
Lambda        AB|PS|PS_g                4287.40949527556     All      -0.00032759605421943226    0.00019490560714908152    -0.0007798719782729095     0.000135393876333917       
Lambda        AB|PS|PS_i                6594.73391345838     All      -0.00032628079094212893    1.7534755506997456e-05    -0.00029110911744164046    9.900117177837838e-05      
Lambda        AB|PS|PS_z                7578.958426649271    All      -3.353350146319527e-05     6.947304873917803e-06     7.63143102439784e-06       1.3526486119692369e-05     
Lambda        AB|PS|PS_r                5444.719004275714    All      2.5920173957226115e-05     7.909110989669402e-05     -0.0007556710737134457     -1.6402606240805918e-05    
MWEBV         All|All|All               All                  All      -0.5599666800545897        -3.5011264561136457       0.017997882119411          -0.9572293375272628        
Redshift      All|All|All               All                  All      4.011411295842542          0.5504151487242481        0.0689225675250843         -1.1242846108688462        
