#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4287.40949527556     All      -0.8257768577017439        0.768715991567781         0.4196407790941125         0.5381054188942731        
Zeropoint     AB|PS|PS_i                6594.73391345838     All      1.078862937469807          -0.08359255186523029      0.7236472280139677         -0.3463569443313107       
Zeropoint     AB|PS|PS_z                7578.958426649271    All      0.4379786730581649         -0.07828434193832834      0.13192526099081958        -0.16227663004584722      
Zeropoint     AB|PS|PS_r                5444.719004275714    All      0.3057211129649853         0.3916823195863728        -1.2746390690902767        -0.028880894411720003     
Check         All|All|All               All                  All      0.9967858657912134         0.9985214173505952        0.0005741990086232107      0.0005909501053951785     
Lambda        AB|PS|PS_g                4287.40949527556     All      -0.0003579466038518104     0.00019833082826715333    -0.0008506768992008237     0.00014323605763141723    
Lambda        AB|PS|PS_i                6594.73391345838     All      -0.00034898246605638637    1.3172965844988608e-05    -0.0004100283237452727     9.966825783331355e-05     
Lambda        AB|PS|PS_z                7578.958426649271    All      -5.343967100682464e-05     1.5818701405896899e-06    -0.00013602675456197513    1.1852076798835093e-05    
Lambda        AB|PS|PS_r                5444.719004275714    All      5.3342341638702034e-05     7.426104955969076e-05     -0.0007435777288100464     -2.6368547532895e-05      
MWEBV         All|All|All               All                  All      -0.5650224119541081        -3.500725964822493        0.011490383834736299       -0.9557424658902365       
Redshift      All|All|All               All                  All      4.256763764034884          0.6098494925472764        2.165612860480563          -1.0912786024761467       
