#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      0.3034852081594998         -0.040275261925160066     0.2752223348871186         -0.09969218573456827       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.4697264989369526        0.3000793542110358        0.03525533023220796        0.25232437569700356        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      1.0246308483306423         -0.05762680302874301      -0.33019509191881985       -0.36726201268803377       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -0.22539682535831562       0.46682925629042415       0.28704826387499777        0.2382904540063891         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.34503272089748627       0.12131896344342863       -0.14867885121416155       0.14527123183210905        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.7055563332974616         0.2077908759643421        -0.12011773928694523       -0.1674988884740818        
Check         All|All|All                              All                   All      0.9935163445948492         0.9981163849553276        -0.0014657534256023036     0.0014329746388178632      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      -9.526869556140217e-05     1.0999471916416836e-05    -0.00020122889807488694    2.5635116756208306e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.0001581120280115993     4.105238739904026e-05     -0.0003090444315746394     5.108316882244755e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      -0.00031649610375168366    8.39608215667078e-06      -0.000732892359753281      7.312245362285177e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -3.8353343216130474e-05    -9.775966269635056e-05    -0.000455058701580148      -3.9657772507068524e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.0005198576311632685     0.00012475690760955282    -0.0006659455562691661     0.00018025407086773475     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.00011539126959247589     3.82311310139547e-05      -0.0005448956458955446     -4.9449785689319486e-05    
MWEBV         All|All|All                              All                   All      -1.101102565975475         -3.987029237501538        -0.016170222062900575      -0.9407628638269319        
Redshift      All|All|All                              All                   All      5.5152561986407775         0.5090301950111176        5.558013782844482          -1.3826638812312595        
