#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5295.088017026253     All      0.8056170080413062         0.32391212896563104       -0.3510798322547304        -0.1725742071969294        
Zeropoint     AB|SDSS|SDSS_z            7634.294968320437     All      0.13739616510418934        -0.0031335495725315354    0.14778638929289212        -0.03918012356468881       
Zeropoint     AB|SDSS|SDSS_i            6421.2197077743085    All      1.0358538340591739         -0.019283987482765497     -0.0653868780963629        -0.346611017537831         
Zeropoint     AB|SDSS|SDSS_g            4052.256627548947     All      -0.9802723339515906        0.6966410059469297        0.2704354901112094         0.5582941374735362         
Check         All|All|All               All                   All      0.998594673253079          0.9981355978572637        0.0017551690530082098      -7.12108259131039e-05      
Lambda        AB|SDSS|SDSS_r            5295.088017026253     All      0.0001724464202310157      6.786733147904168e-05     -0.0016617202912493148     -0.00010821979434955381    
Lambda        AB|SDSS|SDSS_z            7634.294968320437     All      -5.770951186815705e-06     -5.002615150461752e-07    -1.3136503596271878e-05    1.130615204912144e-06      
Lambda        AB|SDSS|SDSS_i            6421.2197077743085    All      -5.9716337641833216e-05    6.066367748559535e-06     6.98202736252018e-05       2.4543349471350294e-05     
Lambda        AB|SDSS|SDSS_g            4052.256627548947     All      -0.0010109797621141322     0.0006015347457277539     -0.0005191924401368069     0.0005020798513169849      
MWEBV         All|All|All               All                   All      -0.5909549059548724        -3.3742767217468383       0.02908834257899784        -0.9053214048399489        
Redshift      All|All|All               All                   All      6.474451961119668          -1.2869369506251616       1.2983820458575934         -2.4701988832124884        
