#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5295.088017026253     All      0.8798066111362102         0.3618046513576445         -0.12855426588247873      -0.17446706651611246       
Zeropoint     AB|SDSS|SDSS_z            7634.294968320437     All      0.1142116694124239         -0.0048310770573323225     0.10991583489807967       -0.0338711000288988        
Zeropoint     AB|SDSS|SDSS_i            6421.2197077743085    All      1.0581575350467187         -0.029713471977643735      0.06967828956717874       -0.3512459548383254        
Zeropoint     AB|SDSS|SDSS_g            4052.256627548947     All      -1.0537565315299453        0.6712651824811289         -0.05003064180930139      0.5596636860205864         
Check         All|All|All               All                   All      0.998419284065407          0.9985252848037973         0.0010092167734782886     7.956463724978491e-05      
Lambda        AB|SDSS|SDSS_r            5295.088017026253     All      0.00017573191445098687     5.3927529215424156e-05     -0.0014057562171285443    -0.00010240813908214116    
Lambda        AB|SDSS|SDSS_z            7634.294968320437     All      -3.5889856986096387e-06    -9.049429532760668e-08     -4.224079578088525e-06    9.510724759230957e-07      
Lambda        AB|SDSS|SDSS_i            6421.2197077743085    All      -0.0003702837233373894     -1.0425278152963239e-05    -0.000555028729353493     9.244935155146502e-05      
Lambda        AB|SDSS|SDSS_g            4052.256627548947     All      -0.0008771519390283965     0.00043919782281781123     -0.0007565980182379174    0.00039501492942919        
MWEBV         All|All|All               All                   All      -0.5959578307174183        -3.367942431383497         0.048942349738085145      -0.9007425077367952        
Redshift      All|All|All               All                   All      6.930598368619879          -0.7951505711687901        2.487758029749402         -2.405513384271336         
