#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6663.483381787074    All      1.137258605872912          -0.01864850337973678      1.2507957586886942        -0.3206997036847875       
Zeropoint     AB|SDSS|SDSS_g            4205.142624806447    All      -0.8774110283713139        0.807187966710643         0.6857623134456148        0.5793317368156372        
Zeropoint     AB|SDSS|SDSS_u            3197.954404559158    All      -0.0981752905773687        0.048410000441911905      0.07547439043005255       0.05111572720136737       
Zeropoint     AB|SDSS|SDSS_r            5494.864311189281    All      0.6803090176535262         0.17884592470469585       -2.1210326577537852       -0.25799497298407137      
Zeropoint     AB|SDSS|SDSS_z            7922.326281948164    All      0.13932800912276888        -0.010455147617527416     0.094615261527764         -0.0445670572999976       
Check         All|All|All               All                  All      0.9813093137005244         1.0053402408599865        -0.014384933661659716     0.007185730048148098      
Lambda        AB|SDSS|SDSS_i            6663.483381787074    All      -0.00028115731524294804    2.5250471166488157e-05    2.8118989986076976e-05    0.0001010619179275338     
Lambda        AB|SDSS|SDSS_g            4205.142624806447    All      -0.000989749119923279      0.0006387167640423266     -0.0015480510906108148    0.0004613625031113759     
Lambda        AB|SDSS|SDSS_u            3197.954404559158    All      -9.207424385973593e-05     3.3619107405175626e-05    -6.06063294365516e-05     3.823787756746058e-05     
Lambda        AB|SDSS|SDSS_r            5494.864311189281    All      0.00019351955881459767     3.752313174470062e-05     -0.0003095602190404076    -6.462741924378922e-05    
Lambda        AB|SDSS|SDSS_z            7922.326281948164    All      -1.5691768357840578e-06    1.9945228062438354e-06    2.3267098560449603e-05    2.199117962478661e-06     
MWEBV         All|All|All               All                  All      -0.6914719208088838        -3.524500500044603        0.18866897629212787       -0.9143911822422468       
Redshift      All|All|All               All                  All      -0.20220521021785243       -0.8707225299852794       -6.342934244763709        -0.5008141079153274       
