#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6663.483381787074    All      0.8834871767950887         0.020419765255219602       1.0393353849664901        -0.2347486852766971        
Zeropoint     AB|SDSS|SDSS_g            4205.142624806447    All      -0.7325258092097566        0.613884896137229          -0.23938397110757226      0.4278876551482893         
Zeropoint     AB|SDSS|SDSS_u            3197.954404559158    All      -0.12154417818275268       0.07599843891323843        0.24709951316613585       0.07537304573281815        
Zeropoint     AB|SDSS|SDSS_r            5494.864311189281    All      0.8688775924075877         0.29422022206677667        -1.1313890758670242       -0.2376735093598024        
Zeropoint     AB|SDSS|SDSS_z            7922.326281948164    All      0.09484267121952833        -0.003614983613609013      0.09934319328402863       -0.027637666890301442      
Check         All|All|All               All                  All      0.9931374530296955         1.0009083387588547         0.01500504444205808       0.0032008393543065186      
Lambda        AB|SDSS|SDSS_i            6663.483381787074    All      -0.00036523138724110153    -5.6782882101691175e-06    -0.0004383532952921219    9.755657901495495e-05      
Lambda        AB|SDSS|SDSS_g            4205.142624806447    All      -0.0005294593293521999     0.0002786552703860299      -0.0014498121994053136    0.00019853105160250875     
Lambda        AB|SDSS|SDSS_u            3197.954404559158    All      -7.956539305549161e-05     4.95221413463779e-05       0.00015846034209244776    4.91194140939853e-05       
Lambda        AB|SDSS|SDSS_r            5494.864311189281    All      0.0002208092338378334      7.07798033332443e-05       0.00017582108295092355    -4.102343392192593e-05     
Lambda        AB|SDSS|SDSS_z            7922.326281948164    All      7.34388461088564e-06       1.4360750182403578e-07     1.9520661047900378e-05    -1.4742496890877043e-06    
MWEBV         All|All|All               All                  All      -0.8222175222778323        -3.4413625438910245        0.40230337388233356       -0.8351887489873984        
Redshift      All|All|All               All                  All      1.864584357664579          -0.2849709610218909        -4.723258589995797        -0.9109582232950796        
