#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4250.428749513119     All      -0.17244517741569668       0.33192788686289276        -1.959604946232052        0.07684273180612322        
Zeropoint     VEGAHST|UVOT|UVOT_u       3390.9202883744265    All      -0.7420090721164279        0.1839754037740171         0.47182745058185205       0.32267909987627325        
Zeropoint     VEGAHST|UVOT|UVOT_v       5280.764614394209     All      1.909219383317473          0.483050262353224          1.4974226246941669        -0.39772710794174215       
Check         All|All|All               All                   All      0.9947651337853486         0.9989535529901339         0.009645129043966971      0.0017947237406543137      
Lambda        VEGAHST|UVOT|UVOT_b       4250.428749513119     All      -0.00037952563468978925    -2.1966100632695803e-05    -0.0027032389567989276    -4.164235512820729e-06     
Lambda        VEGAHST|UVOT|UVOT_u       3390.9202883744265    All      -0.000490092356936627      7.953880891061466e-05      0.000696392078660215      0.00021662439108263555     
Lambda        VEGAHST|UVOT|UVOT_v       5280.764614394209     All      0.0009706470512519657      0.00023158818492012228     0.0008579936488977766     -0.00020244747115076485    
MWEBV         All|All|All               All                   All      -1.5971222522501076        -3.7678906629523112        0.6190720411329176        -0.6794643456244281        
Redshift      All|All|All               All                   All      -0.4859468968006442        -0.9856217230263198        -5.874376944978077        -0.42490699273214083       
