#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3413.8498106131656    All      -0.9863047791801594        0.12760732297856237        -1.4516554099278447       0.29805710455980683       
Zeropoint     AB|PS|PS_z                6034.745647219483     All      0.4937220504085822         0.01684450273753413        -1.1475580434027008       -0.2065449510153805       
Zeropoint     AB|PS|PS_r                4335.357507154537     All      0.10958517704394832        0.4559870077191164         1.779165428549724         0.19223045419755058       
Zeropoint     AB|PS|PS_i                5251.0568785912355    All      1.3818629676333112         0.3973163581234118         0.8340673297624598        -0.2834786271441181       
Check         All|All|All               All                   All      0.9988654159056826         0.9977551915586247         0.014019304981638503      0.000263980597858815      
Lambda        AB|PS|PS_g                3413.8498106131656    All      -0.0010692071077267867     8.512276863144909e-05      -0.001951464520898899     0.0002889183182394419     
Lambda        AB|PS|PS_z                6034.745647219483     All      -0.00015719548687349907    4.720806811399796e-06      0.00020766174621794642    6.200845371881353e-05     
Lambda        AB|PS|PS_r                4335.357507154537     All      -0.00014052644975972816    -0.00010611927579829205    -0.0013697965938365294    -4.992018221308418e-05    
Lambda        AB|PS|PS_i                5251.0568785912355    All      0.00025327061950018845     3.332539934447421e-05      -0.0016592096898041318    -0.0001456863021690164    
MWEBV         All|All|All               All                   All      -0.5699731413575186        -2.4738999644632997        -0.34765579574813976      -0.6356858850564417       
Redshift      All|All|All               All                   All      0.4830898853034118         0.12412631750766678        -4.36605000382971         -0.31176300271023305      
