#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3413.8498106131656    All      -0.6450575934145645        0.12420038585325699        -0.8324245369744859       0.21342534778577096        
Zeropoint     AB|PS|PS_z                6034.745647219483     All      0.595006276851221          -0.029811365560838965      -1.1943733760146351       -0.25682306023650325       
Zeropoint     AB|PS|PS_r                4335.357507154537     All      -0.2508692279377308        0.5570085835367777         1.4208013585598767        0.3265562207157041         
Zeropoint     AB|PS|PS_i                5251.0568785912355    All      1.2854656404080076         0.348236646134481          0.5862807498790833        -0.2791233001759258        
Check         All|All|All               All                   All      0.9845450959069334         0.9996342499636768         -0.019715804550160976     0.004035208089046005       
Lambda        AB|PS|PS_g                3413.8498106131656    All      -0.0010210785157673179     0.0001836633189306366      -0.0013684830380003283    0.0003313549376195145      
Lambda        AB|PS|PS_z                6034.745647219483     All      -0.00013550564454040072    5.874565374440364e-06      5.778237169983147e-05     4.8630747504142664e-05     
Lambda        AB|PS|PS_r                4335.357507154537     All      -0.0002466668056062513     -2.4019228866940544e-05    -0.001147637575241242     2.130984655741388e-05      
Lambda        AB|PS|PS_i                5251.0568785912355    All      0.0003567238442504909      4.2029219817847254e-05     -0.0016377232777380893    -0.00017559046041783777    
MWEBV         All|All|All               All                   All      -0.48761313120941807       -2.4930599738883785        -0.2834866961546054       -0.6658907231440201        
Redshift      All|All|All               All                   All      0.7065879861352113         -0.2026948850231136        -1.2897021972135432       -0.35373683132787637       
