#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6119.394193322869    All      1.040908962394717          -0.005536846401632545      0.129803350441815         -0.33506929960450194       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4327.508016558594    All      -0.4827989866528349        0.3233250626143658         -0.16423450867584233      0.25525209171941704        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4727.39711504006     All      -0.19338882198948015       0.3862982354625011         0.18757924573424845       0.19719394596663628        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5286.399259528926    All      0.5790873770260456         0.21016742403334732        -0.4158053835120912       -0.13872485033676052       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3536.543993837896    All      -0.2859661812449687        0.11220571334424889        0.013851293222821859      0.1303158051337929         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7481.896417240374    All      0.34039281209624245        -0.031107580988187777      0.2471724652674867        -0.10997972812468552       
Check         All|All|All                              All                  All      0.9982351616297211         0.9953520080646427         -0.001633537521561479     -0.0010120352461017584     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6119.394193322869    All      1.564795023732205e-05      -8.204222449060147e-06     -7.965979705933083e-05    -1.1324288235671181e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4327.508016558594    All      -0.0003836777376319249     9.103917621086946e-05      -0.001053763713142523     0.00010760628180529926     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4727.39711504006     All      -0.00012382747137001203    1.0729651534303546e-08     -0.0004866032802902014    1.862330671719503e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5286.399259528926    All      0.00022127563307371668     1.0659987166642571e-05     -0.0017294625886506163    -0.00014578241711798325    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3536.543993837896    All      -0.00025694432580773046    8.079449585770655e-05      7.939839166022266e-06     0.00011036696404924497     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7481.896417240374    All      -2.843097781755859e-05     -4.2322627931216284e-07    -8.12812784025298e-05     5.495835959967376e-06      
MWEBV         All|All|All                              All                  All      -1.089722649087343         -3.928266267663183         0.060804070993092374      -0.9218936354559566        
Redshift      All|All|All                              All                  All      4.620323720377302          0.9149545136963866         11.900020850099624        -0.6759173779209336        
