#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6119.394193322869    All      1.075310448438919          -0.03103768643715199       0.07247504716571337        -0.3571397568124978        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4327.508016558594    All      -0.47020180622610486       0.32007983114219485        -0.0359538004083688        0.25581627580206945        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4727.39711504006     All      -0.25589986761290207       0.426012735500958          0.07421401349472775        0.225433199662097          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5286.399259528926    All      0.5608967614256568         0.19734689366561753        -0.4387604995074375        -0.1380000183037649        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3536.543993837896    All      -0.29130397039545747       0.12083918189782494        0.010251634354816125       0.13470606716608868        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7481.896417240374    All      0.37549106595488985        -0.0350116102291409        0.3201573591409645         -0.11942707426114613       
Check         All|All|All                              All                  All      0.9942926315850014         0.9982293455403024         0.0023837542404154255      0.001388693252846268       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6119.394193322869    All      -4.3467180572474625e-05    -1.6310287620869915e-05    -0.00031549331053283927    -5.233123971138199e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4327.508016558594    All      -0.0003707904533289926     0.00010897876856356023     -0.0008748717611451659     0.00011723511094972804     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4727.39711504006     All      -0.00011909913770839163    -2.1917230172389324e-05    -0.0007205793477025706     -5.008023124592432e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5286.399259528926    All      0.0001820078188396173      2.0600591797794796e-05     -0.0018102494374801898     -0.00013335876220736434    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3536.543993837896    All      -0.0004497906182017047     0.00013526762824176035     -0.00017966125718841983    0.00018255526195721548     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7481.896417240374    All      -5.007752172572861e-05     -4.0290001923788894e-07    -0.00019557453863308674    7.453065118487894e-06      
MWEBV         All|All|All                              All                  All      -1.047381161256765         -3.94378340115642          0.07054392240455548        -0.9403054470782511        
Redshift      All|All|All                              All                  All      5.425998001204551          0.7697934598835943         12.552429625323729         -0.9565217207334223        
