#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8253.418235969255     All      0.20763070260266575        0.0009241435812157306     0.11712769979084214       -0.062104255423486854     
Zeropoint     AB|SDSS|SDSS_i            6941.965440584635     All      0.8837102286287217         0.10956697104322899       0.8928601153989302        -0.21231968136020823      
Zeropoint     AB|SDSS|SDSS_u            3331.6041603245158    All      -0.12917189975118934       0.1643349372955072        0.270075549404436         0.10765706427202093       
Zeropoint     AB|SDSS|SDSS_r            5724.507132896572     All      0.6164764760684112         0.257837013863238         -0.49286953654963384      -0.13881517547637556      
Zeropoint     AB|SDSS|SDSS_g            4380.8850568944845    All      -0.5883069068599434        0.4746144550953346        -0.7656462191356406       0.31206118238882585       
Check         All|All|All               All                   All      0.9903386006886657         1.0072775208785245        0.021547608908933924      0.006479134400776132      
Lambda        AB|SDSS|SDSS_z            8253.418235969255     All      -1.6594284470607996e-05    3.2468292595555858e-06    2.7024976620384997e-05    7.668904080506947e-06     
Lambda        AB|SDSS|SDSS_i            6941.965440584635     All      -0.000488691702322006      -7.997413688956588e-05    -0.0006288201542689448    0.00010507140205133376    
Lambda        AB|SDSS|SDSS_u            3331.6041603245158    All      -0.00010702986756874969    0.0001383503080803328     0.00020587523518153953    8.911566217229753e-05     
Lambda        AB|SDSS|SDSS_r            5724.507132896572     All      -0.00019958857639120283    -0.0001300333721206662    -0.0004925781015885038    6.749199846617643e-07     
Lambda        AB|SDSS|SDSS_g            4380.8850568944845    All      -0.0006133304033605073     0.00021261193497622196    -0.0010931463990791264    0.00022025448914100615    
MWEBV         All|All|All               All                   All      -0.8570618947758488        -3.5130893742284286       0.4549257114014438        -0.8448542856646847       
Redshift      All|All|All               All                   All      7.407848349473972          0.8517444501027427        6.806017680283349         -1.8318174192744008       
