#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8253.418235969255     All      0.18950076544833186        -0.0065761150356280496     0.1089750006680532        -0.05900563693564711      
Zeropoint     AB|SDSS|SDSS_i            6941.965440584635     All      0.858815751067925          0.04833454146773164        0.9130621251323686        -0.22325462490457945      
Zeropoint     AB|SDSS|SDSS_u            3331.6041603245158    All      -0.1499160194192431        0.16171378621177013        0.24202713009310856       0.11230863923575542       
Zeropoint     AB|SDSS|SDSS_r            5724.507132896572     All      0.7230233070136285         0.23511197115162474        -0.9701299351309676       -0.20222121725568284      
Zeropoint     AB|SDSS|SDSS_g            4380.8850568944845    All      -0.6249800791083272        0.5626221030347267         -0.2784715532705464       0.37441419522638086       
Check         All|All|All               All                   All      0.996443725002315          1.0012062868302252         0.01546276749201625       0.002241355366226827      
Lambda        AB|SDSS|SDSS_z            8253.418235969255     All      5.622129865767611e-06      9.993188947704798e-07      3.686354842995681e-05     1.3924923905763927e-07    
Lambda        AB|SDSS|SDSS_i            6941.965440584635     All      -0.0006124682534660768     -0.00011477406254527706    -0.0013996122753010432    9.965710397542565e-05     
Lambda        AB|SDSS|SDSS_u            3331.6041603245158    All      -8.238855739378426e-05     9.943960819116604e-05      0.0002118136248213203     6.867968475096781e-05     
Lambda        AB|SDSS|SDSS_r            5724.507132896572     All      -0.00027984056783994033    -0.00014021679406045717    -0.0008668626200532492    6.795959228725736e-06     
Lambda        AB|SDSS|SDSS_g            4380.8850568944845    All      -0.0005082676958740424     0.00023029145949614798     -0.0008192706041104869    0.00020401273049089696    
MWEBV         All|All|All               All                   All      -0.8372547202910408        -3.5742438627913486        0.3302985271224558        -0.8767877017213457       
Redshift      All|All|All               All                   All      7.356246448983602          1.0663600472183177         9.862500689957296         -1.6087048232055814       
