#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4944.099794331618     All      -0.010290862940721679      0.3355608846868918         0.4014568046429535        0.1305704657536476        
Zeropoint     AB|PS|PS_i                5988.375627759071     All      1.1789835080193691         0.09511244378774819        -1.4096598623451153       -0.4159591092419876       
Zeropoint     AB|PS|PS_g                3893.2000691240664    All      -0.7596111402741536        0.565973675046294          -0.03222491392876817      0.43034853488996955       
Zeropoint     AB|PS|PS_z                6882.104800820508     All      0.5884916848724133         0.0019627338890160217      1.0410913885906796        -0.14459264845162026      
Check         All|All|All               All                   All      0.9975731896769071         0.9986097374099501         0.0006634169597496964     0.00036724295000931106    
Lambda        AB|PS|PS_r                4944.099794331618     All      -0.00018558045456572254    -2.121260685995225e-05     -0.0011372290722551819    2.7907051487981565e-06    
Lambda        AB|PS|PS_i                5988.375627759071     All      -0.000154548365340749      1.948259970752476e-05      0.0003405714369064803     7.188574980601355e-05     
Lambda        AB|PS|PS_g                3893.2000691240664    All      -0.0009865983344109317     0.0006413520039921122      -0.0005277814583992337    0.0005067245207173775     
Lambda        AB|PS|PS_z                6882.104800820508     All      -0.0005808472952970856     -1.4938799140619427e-06    -0.001034549324775188     0.00014254728269994234    
MWEBV         All|All|All               All                   All      -0.4900512997922104        -3.040561336125691         0.07335121989252073       -0.8275117000678195       
Redshift      All|All|All               All                   All      6.876619994895953          0.0522432014973262         12.153593975206519        -1.6805649572623238       
