#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4944.099794331618     All      -0.03349081441582075       0.31127698474513465       0.296990896593996         0.12555555439554816        
Zeropoint     AB|PS|PS_i                5988.375627759071     All      1.1412788306089245         0.06502279178324244       -1.6822312487615454       -0.4256422540410469        
Zeropoint     AB|PS|PS_g                3893.2000691240664    All      -0.7657831288236959        0.6236129839978233        0.24606408263061486       0.4635527335967145         
Zeropoint     AB|PS|PS_z                6882.104800820508     All      0.6548256711343838         -0.0007391738744644272    1.141331108999788         -0.16260667201168644       
Check         All|All|All               All                   All      0.9968305585037918         0.999173586651736         0.0021548394628534417     0.0008593619395293461      
Lambda        AB|PS|PS_r                4944.099794331618     All      -0.00012749550077111895    -3.04373802663094e-05     -0.0010019350773953495    -1.3096737817053206e-05    
Lambda        AB|PS|PS_i                5988.375627759071     All      -8.497006010010631e-05     3.926686687879027e-05     0.000619616369157525      6.811868715096987e-05      
Lambda        AB|PS|PS_g                3893.2000691240664    All      -0.001063050332820348      0.0006611885244202616     -0.0006223665519142162    0.0005338679607909975      
Lambda        AB|PS|PS_z                6882.104800820508     All      -0.0005372611337860826     1.818671986199407e-05     -0.0007612881063524678    0.00014695484790807446     
MWEBV         All|All|All               All                   All      -0.48925737894052546       -3.041319201950188        0.06732970131773097       -0.8282858807586753        
Redshift      All|All|All               All                   All      6.263538278672564          -0.080239941089566        9.870527235025039         -1.6259009734735177        
