#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6730.3265733612625    All      0.8607183532376393         -0.11344358534834953      0.63118733120356          -0.2891496007202284       
Zeropoint     AB|PS|PS_g                4375.561840038236     All      -0.8908155231295369        0.7852252397821502        0.2317671697073515        0.5562843208995422        
Zeropoint     AB|PS|PS_z                7734.787478412154     All      0.505848210445035          -0.1298907128280291       -0.03260022992397073      -0.2085358810334359       
Zeropoint     AB|PS|PS_r                5556.66649782157      All      0.5217696975707876         0.4563813858897703        -0.8311560244837483       -0.058389800337228306     
Check         All|All|All               All                   All      0.9975207381239249         0.9982723274955418        -0.0008017534968075557    0.00020903880864957258    
Lambda        AB|PS|PS_i                6730.3265733612625    All      -0.0004356693235429469     3.5510109564743505e-05    -0.0006543865399839494    0.0001242763769152734     
Lambda        AB|PS|PS_g                4375.561840038236     All      -0.00017777986431236263    9.014114399969643e-05     -0.0004566483438786093    6.689256846928e-05        
Lambda        AB|PS|PS_z                7734.787478412154     All      -1.9515473452033687e-05    5.207473061922738e-05     0.0006228834897814448     5.11157140623189e-05      
Lambda        AB|PS|PS_r                5556.66649782157      All      -6.902160918347855e-05     -2.522452567524006e-05    -0.0008460037442542851    -2.348711057153048e-05    
MWEBV         All|All|All               All                   All      -0.5628706746671064        -3.612843590240722        0.0043951386472452225     -0.9932803848791346       
Redshift      All|All|All               All                   All      2.6870688890636094         1.3763520965678566        -0.7212952256944094       -0.4591316737511033       
