#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6730.3265733612625    All      0.8188064722890845         -0.10348532544917077       0.5380986635589585        -0.27640790906536744      
Zeropoint     AB|PS|PS_g                4375.561840038236     All      -0.8596734120914103        0.7819795708734034         0.39104317890825413       0.5521908464088745        
Zeropoint     AB|PS|PS_z                7734.787478412154     All      0.4784469694208475         -0.12435058313347014       -0.12796843038561656      -0.20206163762773524      
Zeropoint     AB|PS|PS_r                5556.66649782157      All      0.5597603791102311         0.4440651126682127         -0.8031638416783532       -0.07352726799737877      
Check         All|All|All               All                   All      0.9973404087287528         0.9982087749589752         -0.001990429596757104     0.00019403171839305067    
Lambda        AB|PS|PS_i                6730.3265733612625    All      -0.00045138030846306003    3.1080046755633145e-05     -0.0006705688755874232    0.00012722880106293689    
Lambda        AB|PS|PS_g                4375.561840038236     All      -0.00011576844259815372    3.410011856672218e-05      -0.0005275940403920805    2.5273022029694096e-05    
Lambda        AB|PS|PS_z                7734.787478412154     All      -3.7289304704019315e-05    5.239859079677183e-05      0.0005812710580680758     5.5153755848898226e-05    
Lambda        AB|PS|PS_r                5556.66649782157      All      -9.859361975170613e-05     -2.4697922232133353e-05    -0.0007359404820774378    -8.77138388437662e-06     
MWEBV         All|All|All               All                   All      -0.5663653913851983        -3.610134340188509         0.00496952468228562       -0.9912339165869178       
Redshift      All|All|All               All                   All      2.685696531883349          1.5123088120891026         -1.29847913959239         -0.4401561439473629       
