#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4000.605246812303    All      -0.8936095661577934       0.5110656793950952         -0.4358538736638067        0.43809878334232805        
Zeropoint     AB|PS|PS_r                5080.497078696723    All      0.28691936854357525       0.5536873895763961         0.5954195890967876         0.11346596245572663        
Zeropoint     AB|PS|PS_z                7071.96755533533     All      0.3250886982828589        -0.06855445640017166       -0.3271519861893822        -0.14282181654429182       
Zeropoint     AB|PS|PS_i                6153.582279599103    All      1.277335369322142         0.002529029156939089       0.16699608200853402        -0.4077940967198808        
Check         All|All|All               All                  All      0.995733869990783         0.9987276417282587         -0.0005901887478672319     0.0009488325338820602      
Lambda        AB|PS|PS_g                4000.605246812303    All      -0.0007706073413985655    0.0003255601882359375      -0.0009755577529802447     0.00031352316530169693     
Lambda        AB|PS|PS_r                5080.497078696723    All      -9.122377913486335e-05    -3.987062475565422e-06     -0.0007689212550994373     -5.897555468835507e-06     
Lambda        AB|PS|PS_z                7071.96755533533     All      -0.0001586984977634397    -2.150330897750799e-06     -0.00017207037371348854    4.331417774167459e-05      
Lambda        AB|PS|PS_i                6153.582279599103    All      1.2491203159283477e-05    -4.7419664423694124e-05    -0.0005234630825232645     -4.2874693774809394e-05    
MWEBV         All|All|All               All                  All      -0.5247343043216381       -3.1592283459886517        0.020544774794700203       -0.8572245627101432        
Redshift      All|All|All               All                  All      5.907089742153957         -0.25638560161489465       -2.268710762294161         -2.108888833290929         
