#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4000.605246812303    All      -0.7970383867997102        0.5276285159288463         -0.19582790672786551      0.42274869039310714       
Zeropoint     AB|PS|PS_r                5080.497078696723    All      0.21105011616421154        0.5469694420391136         0.5516773794035683        0.13403880353524134       
Zeropoint     AB|PS|PS_z                7071.96755533533     All      0.3069004741452013         -0.08540565043286819       -0.5188196250308909       -0.15093954827599398      
Zeropoint     AB|PS|PS_i                6153.582279599103    All      1.274858693630632          0.009304771813134494       0.16201442344338998       -0.4050025882103431       
Check         All|All|All               All                  All      0.9957708971403348         0.9984970793482262         -0.0009557289117980983    0.0008453574420114185     
Lambda        AB|PS|PS_g                4000.605246812303    All      -0.0009073598186560895     0.0004666185145688063      -0.0009737260619547808    0.0004040970236928635     
Lambda        AB|PS|PS_r                5080.497078696723    All      -0.00017592823254859093    5.346702199415995e-05      -0.0010918314437192295    2.5998158551536298e-05    
Lambda        AB|PS|PS_z                7071.96755533533     All      -0.00013694200903781643    4.027592562833325e-06      -9.096728240831815e-05    4.1858984987202e-05       
Lambda        AB|PS|PS_i                6153.582279599103    All      0.0001802484452152349      -3.3213947032349915e-05    -0.0003423059769095567    -8.480726745413489e-05    
MWEBV         All|All|All               All                  All      -0.5208074542051966        -3.1657065627104686        0.005963907713669309      -0.8612645124262214       
Redshift      All|All|All               All                  All      5.925635994428104          -0.8513781574922774        -1.1135458399851195       -2.2571889029310563       
