#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7750.613692065955    All      0.14150801193510645        0.002029817163240466       0.12059033718438941       -0.040051243836353306     
Zeropoint     AB|SDSS|SDSS_g            4113.998192573846    All      -0.7271006418303809        0.569833274615128          -0.2961362031801032       0.40923884580124914       
Zeropoint     AB|SDSS|SDSS_r            5375.765785283376    All      0.8611444438511651         0.3346617669924612         -0.32570402802581255      -0.1860274034847688       
Zeropoint     AB|SDSS|SDSS_u            3128.640289791717    All      -0.1204844343817826        0.06032555405415252        0.12403714367613217       0.06443096974578673       
Zeropoint     AB|SDSS|SDSS_i            6519.055602823854    All      0.8373500048738012         0.03353599032518417        0.3832407512247942        -0.24472639466801963      
Check         All|All|All               All                  All      0.9924173844479091         1.0003864031501664         0.006028000879400031      0.00286477355789419       
Lambda        AB|SDSS|SDSS_z            7750.613692065955    All      -3.3185631868586804e-06    8.607924905392328e-07      7.163280407443629e-06     1.681017945673515e-06     
Lambda        AB|SDSS|SDSS_g            4113.998192573846    All      -0.0006143859207779676     0.0002790963044197234      -0.001810176571484606     0.0002102566888939088     
Lambda        AB|SDSS|SDSS_r            5375.765785283376    All      0.0002236439406743257      7.687729238680261e-05      -0.0002865429162681933    -6.059382013559139e-05    
Lambda        AB|SDSS|SDSS_u            3128.640289791717    All      -7.992791556143363e-05     4.1482693404353454e-05     9.415851463979188e-05     4.374929168450768e-05     
Lambda        AB|SDSS|SDSS_i            6519.055602823854    All      -0.0002039565334897926     -1.9907825066887615e-05    -0.0002493191665979745    4.882475003224185e-05     
MWEBV         All|All|All               All                  All      -0.8087212256372998        -3.3405897806686013        0.2626950781502668        -0.8129900095520245       
Redshift      All|All|All               All                  All      4.6330255404230645         -0.3936942527749565        6.8351487547489596        -1.3323467145919916       
