#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7750.613692065955    All      0.13432833288241153        0.00014249053919002108     0.09247069521223505        -0.039582201009493584     
Zeropoint     AB|SDSS|SDSS_g            4113.998192573846    All      -0.6836074722769385        0.5864389782148649         -0.15994633869937658       0.4065582417231234        
Zeropoint     AB|SDSS|SDSS_r            5375.765785283376    All      0.7979959504512293         0.33604075053954574        -0.4208810599295121        -0.16925599515375464      
Zeropoint     AB|SDSS|SDSS_u            3128.640289791717    All      -0.06417368903774014       0.04208230998496987        0.1314121027694154         0.04047539319287294       
Zeropoint     AB|SDSS|SDSS_i            6519.055602823854    All      0.8086425401611551         0.0351974727717419         0.36462437397552505        -0.2356649928842887       
Check         All|All|All               All                  All      0.9931856621801174         0.9999020020503124         0.007679773328286843       0.00253044586845938       
Lambda        AB|SDSS|SDSS_z            7750.613692065955    All      -2.552093376708484e-06     -9.389148048295549e-08     -3.32375305070309e-06      6.523933968336174e-07     
Lambda        AB|SDSS|SDSS_g            4113.998192573846    All      -0.0006473041503946119     0.00028984445199463235     -0.0018521970185814988     0.00022260508496533516    
Lambda        AB|SDSS|SDSS_r            5375.765785283376    All      0.00025248218347386414     9.480001865166959e-05      -0.00016106705187316812    -5.854995144261192e-05    
Lambda        AB|SDSS|SDSS_u            3128.640289791717    All      -7.86748074518151e-05      4.705194483579461e-05      0.00011563788780273979     4.611372733439253e-05     
Lambda        AB|SDSS|SDSS_i            6519.055602823854    All      -0.00018938219259658813    -1.6794266200005295e-05    -0.00017382461815124674    4.84605712409974e-05      
MWEBV         All|All|All               All                  All      -0.8404918896954299        -3.3242064234817903        0.2684949080423382         -0.7970458408418764       
Redshift      All|All|All               All                  All      4.6173935229832805         -0.5235670525108205        6.800851936592469          -1.3710892052706622       
