#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7883.54688559925     All      0.3309436015297843        -0.10158394567270079       -0.21668433759818276       -0.15055807864932774      
Zeropoint     AB|PS|PS_g                4459.714893661397    All      -0.9175216517594946       1.002093622800082          0.5787488893448344         0.6511087532246967        
Zeropoint     AB|PS|PS_r                5663.535163115788    All      0.5073012278265865        0.026240294581469925       -1.9522868339085744        -0.24381896726077892      
Zeropoint     AB|PS|PS_i                6859.767672295544    All      1.076951186520785         0.07327746206122754        1.6015877954697844         -0.2554580444560902       
Check         All|All|All               All                  All      0.9976743641176613        1.0000274337700787         0.011365513307861619       0.0012736628584998355     
Lambda        AB|PS|PS_z                7883.54688559925     All      -0.0001933188134313428    0.00013179950788202625     0.0006088382366568642      0.0001330713875359477     
Lambda        AB|PS|PS_g                4459.714893661397    All      -0.0002580573965169616    7.260834158766635e-07      -0.0014459411658100689     1.9768579875198302e-05    
Lambda        AB|PS|PS_r                5663.535163115788    All      -6.466376492449729e-05    -5.9287050829857986e-05    -0.00017751720698629277    -6.17040497149277e-06     
Lambda        AB|PS|PS_i                6859.767672295544    All      -0.0007721749273335027    -9.544227338382851e-05     -0.0015441920029156846     0.00015152389236163693    
MWEBV         All|All|All               All                  All      -0.6128805335927772       -3.698983533741007         -0.013917190028439969      -1.005866337192875        
Redshift      All|All|All               All                  All      4.964307950248127         0.9788834686959902         0.7337433030817733         -1.2654402765569819       
