#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7883.54688559925     All      0.3137490293128389         -0.1241949881183757        -0.32170807971816373       -0.15700912845361664       
Zeropoint     AB|PS|PS_g                4459.714893661397    All      -0.9278728812139064        0.9671095883067693         0.19660735722819567        0.6260318167625207         
Zeropoint     AB|PS|PS_r                5663.535163115788    All      0.4643415427143669         0.09579820430456465        -1.3258353393767575        -0.1792126318906899        
Zeropoint     AB|PS|PS_i                6859.767672295544    All      1.1521893447554354         0.06208470638267016        1.478734106622115          -0.2890938324969171        
Check         All|All|All               All                  All      1.0024070355687347         1.0007975108756284         0.027798044755389384       0.00071622392129711        
Lambda        AB|PS|PS_z                7883.54688559925     All      -0.0001932934055756955     9.377936121478155e-05      0.00029965215619345067     0.00010688114403549831     
Lambda        AB|PS|PS_g                4459.714893661397    All      -0.00035316342335925594    3.19538040219482e-05       -0.00174585026435438       4.753607204060393e-05      
Lambda        AB|PS|PS_r                5663.535163115788    All      -5.7209991414089375e-05    -0.00012236620874585605    -0.00044713019904036986    -4.1176890749282534e-05    
Lambda        AB|PS|PS_i                6859.767672295544    All      -0.0007749553802751255     -7.576091363143223e-05     -0.001238392099492071      0.00017248688892940704     
MWEBV         All|All|All               All                  All      -0.6003994683549134        -3.7027380523806386        -0.0069556245245072645     -1.0108441383014928        
Redshift      All|All|All               All                  All      5.009704440575348          1.0090670153440229         2.4172289414202464         -1.1952694007350984        
