#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3585.667533786036    All      -0.40706332573489706       0.14433325723950396        -0.06336959882315973       0.17678011333408084        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4387.618257883944    All      -0.5230520762472926        0.3145476772699496         -0.17768572977647779       0.26490449789507           
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6204.394211882765    All      0.9621829353276528         -0.029025250946634884      0.044730711648810484       -0.32087298983009793       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4793.061922670342    All      -0.11757091107270551       0.4398348112354178         0.21248442719059568        0.19104758593916446        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7585.821955330825    All      0.26599786981047896        -0.02880255729822423       0.09692642515837235        -0.09170081656742872       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5360.455359851433    All      0.8115543726661012         0.1569157663316556         -0.11124731757974349       -0.21820178789670047       
Check         All|All|All                              All                  All      0.9920488647493376         0.9978037038316678         0.001838917818397512       0.0019566028740881647      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3585.667533786036    All      -0.0002033754582498494     7.977075547343022e-05      0.0005344709125546976      0.00011608101913461669     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4387.618257883944    All      -0.0004519989831238636     0.0001041461945806753      -0.0009130181725128651     0.0001404109733127936      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6204.394211882765    All      -4.3851736557162834e-05    -4.6139956078690137e-07    0.00012047161643386044     1.9509755194727956e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4793.061922670342    All      -8.708038249806745e-05     -7.433833757501306e-05     -0.000908286802984139      -3.638216517451878e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7585.821955330825    All      -4.6404448599044845e-05    3.166139783964267e-06      -3.3064909247287434e-05    1.4671236422192423e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5360.455359851433    All      0.0003769910053499026      -9.365454744530032e-06     -0.0007450437146614772     -0.00015909688892607658    
MWEBV         All|All|All                              All                  All      -1.1445720304938773        -4.000481449024651         -0.02414850018137571       -0.9313412908975968        
Redshift      All|All|All                              All                  All      5.4880456360337275         0.671035233411299          9.403128876834321          -1.1494403083049272        
