#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3585.667533786036    All      -0.3404658900225368        0.13462754246766906        -0.10031331588832444      0.15027703850602783        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4387.618257883944    All      -0.5488231355154084        0.34567186423073437        -0.12566486573564623      0.2857586036287815         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6204.394211882765    All      1.0168821180574945         -0.04926891611005679       0.035433865319015004      -0.34569921648822355       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4793.061922670342    All      -0.17540348847221954       0.4256392263830566         0.08582875377425242       0.19960952903008106        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7585.821955330825    All      0.30318899320112624        -0.04180860034095346       0.12151397123719705       -0.10695445585751913       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5360.455359851433    All      0.7388946822864877         0.18331008893670564        -0.015520822006885098     -0.18166480324583886       
Check         All|All|All                              All                  All      0.9942732795349435         0.9981712055671554         0.0012775866996087102     0.001326695573308917       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3585.667533786036    All      -0.0005923085495556331     0.00012056492832688346     -0.0003539146387292617    0.00021641275973179408     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4387.618257883944    All      -0.00046740317340762433    0.00015915546069053958     -0.0008847765633622126    0.0001646072459014791      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6204.394211882765    All      -9.556036729470387e-05     -1.1875927968339578e-05    -4.263301022196352e-05    2.5356259585001727e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4793.061922670342    All      -0.00019307450043234278    -6.644324013150264e-05     -0.0014403460631539579    -2.302806200366517e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7585.821955330825    All      -6.897329395845849e-05     4.71800285117684e-06       -8.83084439935282e-05     2.0062879473134193e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5360.455359851433    All      0.00024393766007988006     2.54894065454964e-05       -0.001270516577844296     -0.00012785310250783462    
MWEBV         All|All|All                              All                  All      -1.0938918865247764        -4.012210026204288         -0.02078753424726024      -0.9515198800883997        
Redshift      All|All|All                              All                  All      8.156124835519975          0.06374445899584025        15.168123486699008        -1.9590708335004468        
