#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4102.5744228054455    All      -0.9493889187300071        0.677484111880311         -0.0014399644441798712     0.5298618096030833         
Zeropoint     AB|SDSS|SDSS_u            3119.952666539175     All      -0.03028473335733542       0.012999480659736662      0.009297864081296495       0.014514013484107394       
Zeropoint     AB|SDSS|SDSS_i            6500.953458187893     All      1.0191552016433578         -0.02575455846542951      0.2801242086003578         -0.327860828511576         
Zeropoint     AB|SDSS|SDSS_r            5360.838333256108     All      0.836600569233789          0.3436141307510354        -0.33905292425185196       -0.17571227658151706       
Zeropoint     AB|SDSS|SDSS_z            7729.091751064185     All      0.11988615988532836        -0.008950790265771502     0.05397898037744486        -0.039557599296218215      
Check         All|All|All               All                   All      0.9959682786751325         0.9993923745598821        0.002908164363067345       0.0012451186978794104      
Lambda        AB|SDSS|SDSS_g            4102.5744228054455    All      -0.00078679531879561       0.00039953461445351384    -0.0010480877664925592     0.0003396553450291998      
Lambda        AB|SDSS|SDSS_u            3119.952666539175     All      -2.4375062064048226e-05    1.0421812597553782e-05    6.993900569671341e-06      1.164659252105765e-05      
Lambda        AB|SDSS|SDSS_i            6500.953458187893     All      -0.00029568655300051455    -4.846073074133242e-06    -0.00032132863688091396    8.039689142465671e-05      
Lambda        AB|SDSS|SDSS_r            5360.838333256108     All      0.00023490886532451314     5.364894033353132e-05     -0.0009635836701232649     -0.00010204263446184662    
Lambda        AB|SDSS|SDSS_z            7729.091751064185     All      9.69520917132933e-07       2.0210640213847535e-07    7.294395334342509e-06      7.554320710438634e-08      
MWEBV         All|All|All               All                   All      -0.660651027385641         -3.408173510267254        0.04979661758571176        -0.8927362691440945        
Redshift      All|All|All               All                   All      5.867009307369633          -0.5834453240625592       6.3140102217971            -1.8193600101127003        
