#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4102.5744228054455    All      -0.9374548827743272        0.6895090108539392        0.06169816788337279        0.5327089715401592         
Zeropoint     AB|SDSS|SDSS_u            3119.952666539175     All      -0.016184077398969696      0.008505569505246058      0.014739498202631651       0.008699986370676316       
Zeropoint     AB|SDSS|SDSS_i            6500.953458187893     All      1.0513462301443872         -0.025705586990731888     0.3826530445827814         -0.3337551628753349        
Zeropoint     AB|SDSS|SDSS_r            5360.838333256108     All      0.7462298418105109         0.33346285805215814       -0.5975442547824006        -0.16111744190994842       
Zeropoint     AB|SDSS|SDSS_z            7729.091751064185     All      0.15215670145141008        -0.006582592120274455     0.13849227000966025        -0.04552633634539449       
Check         All|All|All               All                   All      0.9960938132330115         0.9991892593003371        3.872589604547727e-05      0.0010100167801576077      
Lambda        AB|SDSS|SDSS_g            4102.5744228054455    All      -0.0008220306411737557     0.0004554916007512259     -0.0008776322979311738     0.0003769663247910133      
Lambda        AB|SDSS|SDSS_u            3119.952666539175     All      -1.73387161191319e-05      8.42478424898089e-06      1.156154926588334e-05      8.907958507341631e-06      
Lambda        AB|SDSS|SDSS_i            6500.953458187893     All      -0.00037917164271772185    -9.962803974896976e-06    -0.00044534383158124956    0.0001003898155753074      
Lambda        AB|SDSS|SDSS_r            5360.838333256108     All      0.0002536498950649823      9.604253334265235e-05     -0.0007716300658078703     -8.577220870944891e-05     
Lambda        AB|SDSS|SDSS_z            7729.091751064185     All      6.0685209844964616e-06     1.2069875513351683e-06    2.5570240279093545e-05     -4.4247899508973195e-07    
MWEBV         All|All|All               All                   All      -0.6422537794443586        -3.4201499383041067       0.008533897373164123       -0.9044713403646987        
Redshift      All|All|All               All                   All      6.073430655991581          -0.9540856525722674       5.706400998418237          -2.0344427921109283        
