#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6393.941799075182     All      1.0946135116860338         0.03414675526247635        0.19715673754352459       -0.33663071119872795      
Zeropoint     AB|SDSS|SDSS_z            7601.863808726892     All      0.12281648931636811        0.013786507495261446       0.23985586438408646       -0.024810986449669975     
Zeropoint     AB|SDSS|SDSS_u            3068.595382819665     All      -0.06514342499762527       0.04350172495897198        0.15081167230874826       0.04211933194231132       
Zeropoint     AB|SDSS|SDSS_g            4035.0422833367593    All      -0.9689585836955417        0.49770949871454917        -1.1433242178392256       0.4267207376436863        
Zeropoint     AB|SDSS|SDSS_r            5272.594015254688     All      0.8090024929596717         0.41080303747129676        0.5567506610694384        -0.10486143808529705      
Check         All|All|All               All                   All      0.9923304852689071         0.9999475239025557         0.0012507174665721266     0.0025369338523026086     
Lambda        AB|SDSS|SDSS_i            6393.941799075182     All      -0.0004908366594951111     -3.7662014132814717e-05    -0.0004576657912217975    0.00012719036871821179    
Lambda        AB|SDSS|SDSS_z            7601.863808726892     All      -1.1832955747146875e-05    1.295658908174548e-06      8.591577939566028e-06     4.659824375583704e-06     
Lambda        AB|SDSS|SDSS_u            3068.595382819665     All      -3.884502738206039e-05     3.504144578267793e-05      0.0001638962248978869     3.138119087157942e-05     
Lambda        AB|SDSS|SDSS_g            4035.0422833367593    All      -0.0007412507678679653     0.00022457174375487162     -0.0017577684459872205    0.0002361590340464455     
Lambda        AB|SDSS|SDSS_r            5272.594015254688     All      0.00022161311831607412     9.290372185256024e-05      0.0001664793214104966     -3.449567733885207e-05    
MWEBV         All|All|All               All                   All      -0.6892328834122474        -3.2683740363181           0.3728571181767171        -0.82347222401161         
Redshift      All|All|All               All                   All      6.374413428960946          -0.19045330645894865       -2.6864032875877353       -2.2582749139476923       
