#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6393.941799075182     All      1.0657622945757848         0.008641954222099457       -0.09355119287576483      -0.3485136331523339       
Zeropoint     AB|SDSS|SDSS_z            7601.863808726892     All      0.1075887406566377         0.006857169852914069       0.13980729473530124       -0.02657262912866038      
Zeropoint     AB|SDSS|SDSS_u            3068.595382819665     All      -0.05343403053307123       0.04234687133841675        0.16300076424650542       0.038472966310507895      
Zeropoint     AB|SDSS|SDSS_g            4035.0422833367593    All      -0.8794553684198797        0.535902519356668          -0.694619677620016        0.43003094200084874       
Zeropoint     AB|SDSS|SDSS_r            5272.594015254688     All      0.7527999361114874         0.40695238026309255        0.4939909763885774        -0.09060937852871652      
Check         All|All|All               All                   All      0.9932615723909588         1.0007008950331908         0.008628164874603272      0.0028082675016458253     
Lambda        AB|SDSS|SDSS_i            6393.941799075182     All      -0.00032680549906471674    -1.7323113300045862e-05    -0.0001947216895571078    9.21190600310577e-05      
Lambda        AB|SDSS|SDSS_z            7601.863808726892     All      -1.1435266688062624e-05    -5.3739006713012295e-08    -7.066875197396625e-06    3.3919758238782655e-06    
Lambda        AB|SDSS|SDSS_u            3068.595382819665     All      -4.972109224684151e-05     4.000504259462904e-05      0.00015585018588327114    3.618163202198003e-05     
Lambda        AB|SDSS|SDSS_g            4035.0422833367593    All      -0.0008083533417824061     0.000314602521982465       -0.001643283637131407     0.00029245146758236757    
Lambda        AB|SDSS|SDSS_r            5272.594015254688     All      0.00022647493971436093     0.00010288107589540755     -0.0001500293850217412    -4.695370995665536e-05    
MWEBV         All|All|All               All                   All      -0.6846622451676416        -3.267962345887554         0.38242577584283965       -0.8243999248955842       
Redshift      All|All|All               All                   All      6.3293662946153475         -0.5515605637807397        -1.7532927238247293       -2.319585655231295        
