#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5268.118128993861     All      0.5028326427926845         0.16331657632235874       -0.6330985140312828       -0.13884383156111124      
Zeropoint     AB|SDSS|SDSS_i            6388.514004678684     All      0.5990917659766881         0.10227867257945888       0.03655226204712925       -0.1601972096080692       
Zeropoint     AB|SDSS|SDSS_u            3065.990463139852     All      0.0009362351870062756      -0.00470674035462082      -0.05053007875146509      -0.0040930281207093855    
Zeropoint     AB|SDSS|SDSS_g            4031.6169503288334    All      -0.31318681322138997       0.7034111644582453        0.3976380038163585        0.34888416423533436       
Zeropoint     AB|SDSS|SDSS_z            7595.410613643084     All      0.2127171208537435         0.034412844569509105      0.2575521566120287        -0.04658619896690114      
Check         All|All|All               All                   All      1.0023909515887324         0.9987125175749512        0.008113829692768526      -0.0008361040214566184    
Lambda        AB|SDSS|SDSS_r            5268.118128993861     All      -3.786181222323239e-05     2.078364908838732e-05     -0.0013421730880085222    -4.079226441223056e-05    
Lambda        AB|SDSS|SDSS_i            6388.514004678684     All      -0.0001748304933963176     -2.51788678312115e-05     0.0011316376621673461     9.924624927753503e-05     
Lambda        AB|SDSS|SDSS_u            3065.990463139852     All      1.2152919105093657e-05     3.1389104109125564e-05    0.00027736388852167023    1.864333476596115e-05     
Lambda        AB|SDSS|SDSS_g            4031.6169503288334    All      -0.00048404409503418353    0.00024762801948448017    -0.0013393797701179702    0.0001785593114047237     
Lambda        AB|SDSS|SDSS_z            7595.410613643084     All      -4.486333742085763e-06     8.470530786936509e-07     1.57153743101532e-06      1.807390048478343e-06     
MWEBV         All|All|All               All                   All      -0.9948622463793888        -3.259213997368171        0.0975874820221101        -0.7332189791373789       
Redshift      All|All|All               All                   All      4.177068385198302          0.389375962532057         -6.609615231785049        -1.528732804371595        
