#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5268.118128993861     All      0.36977811177816056        0.14025580993646258       -0.39179728080354426       -0.09224707795172105      
Zeropoint     AB|SDSS|SDSS_i            6388.514004678684     All      1.249800449967745          0.13764518796790526       0.28781508513912424        -0.34942169229178494      
Zeropoint     AB|SDSS|SDSS_u            3065.990463139852     All      -0.06653381988523906       0.02132081153476406       0.026064555205988542       0.029780285173688453      
Zeropoint     AB|SDSS|SDSS_g            4031.6169503288334    All      -0.695651837808781         0.6925034524748241        -0.02183310865429267       0.45119353563451703       
Zeropoint     AB|SDSS|SDSS_z            7595.410613643084     All      0.1335657604155375         0.0084427998846337        0.09913354078024349        -0.03633279004690894      
Check         All|All|All               All                   All      0.9909586644674229         1.0001680617985897        -0.0006172083324806482     0.0029722605177905786     
Lambda        AB|SDSS|SDSS_r            5268.118128993861     All      8.78364246515359e-05       3.6585543480075074e-05    -0.0014739781267956622     -8.247097216366989e-05    
Lambda        AB|SDSS|SDSS_i            6388.514004678684     All      -0.00028474979893861334    -5.488070360937439e-05    -0.0006019207580407933     4.801496790802942e-05     
Lambda        AB|SDSS|SDSS_u            3065.990463139852     All      -6.370942428820302e-05     2.124336484992839e-05     3.144593299143694e-05      2.907520584949781e-05     
Lambda        AB|SDSS|SDSS_g            4031.6169503288334    All      -0.0006561942977619145     0.0004941081345347417     -0.000656906671242303      0.0003453766183506387     
Lambda        AB|SDSS|SDSS_z            7595.410613643084     All      -2.8397678441531704e-06    -6.964402113894708e-07    -1.0223538948003391e-05    2.419227351424218e-07     
MWEBV         All|All|All               All                   All      -0.712473961005923         -3.306735651226411        0.0954575634671004         -0.8407765485425067       
Redshift      All|All|All               All                   All      5.360282561942718          -0.3281442808006574       -0.8559690697955085        -1.8911057346271531       
