#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3644.4093166898647    All      -0.6593609428963756        0.37169655547337754        -0.033093804729672494     0.3343725234924391         
Zeropoint     AB|PS|PS_z                6442.311314401404     All      0.4828154389263            0.018705583083544752       0.20870521041498336       -0.1418622938162549        
Zeropoint     AB|PS|PS_r                4628.1524281285       All      -0.24287891240019782       0.27120495971715286        -0.37857605786864035      0.15055991927991758        
Zeropoint     AB|PS|PS_i                5605.694940448794     All      1.4185753976398103         0.336927626061545          0.2084798255642728        -0.343024767256013         
Check         All|All|All               All                   All      0.9991509812695368         0.9985347243356202         0.005515173380943317      4.5381700088775734e-05     
Lambda        AB|PS|PS_g                3644.4093166898647    All      -0.0010609895419811297     0.00040376578839312476     -0.0012728764113131546    0.00042031637199490304     
Lambda        AB|PS|PS_z                6442.311314401404     All      8.055273069638977e-05      -3.029601764973984e-06     1.3143798882649899e-05    -2.6638968082879717e-05    
Lambda        AB|PS|PS_r                4628.1524281285       All      -0.00016090781392151342    -3.399462155345336e-05     -0.0006172491067566632    1.3794809362344359e-05     
Lambda        AB|PS|PS_i                5605.694940448794     All      -0.00018161770905448501    -3.3397468770339825e-05    -0.0006517456536176287    1.9195793400172663e-05     
MWEBV         All|All|All               All                   All      -0.47551116106380986       -2.706802868274494         0.13286661757738738       -0.7208758894470951        
Redshift      All|All|All               All                   All      5.338596194620878          0.3550256069281943         3.968273406911915         -1.4462270784839582        
