#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3644.4093166898647    All      -0.6822012614951177        0.40785603183302044        0.0744763124627844         0.35839105802460575        
Zeropoint     AB|PS|PS_z                6442.311314401404     All      0.5152038793612315         0.00930441575661689        0.15624170438102106        -0.15781574921967906       
Zeropoint     AB|PS|PS_r                4628.1524281285       All      -0.24063300003012447       0.23795943385103158        -0.36382374161649783       0.13965751833214848        
Zeropoint     AB|PS|PS_i                5605.694940448794     All      1.4061218002629376         0.34356241048776326        0.13571281707106317        -0.3400543106959084        
Check         All|All|All               All                   All      0.998491418098927          0.9986822919284322         0.002607092298370778       0.0001785164411667317      
Lambda        AB|PS|PS_g                3644.4093166898647    All      -0.0010528504732438757     0.0005464775016067034      -0.00042743660392523394    0.0005018792052484762      
Lambda        AB|PS|PS_z                6442.311314401404     All      4.9364537579593495e-05     -3.20849102030878e-05      -0.0003461908419487908     -4.1979672029207055e-05    
Lambda        AB|PS|PS_r                4628.1524281285       All      -0.00012843078304277682    -2.7469623063870216e-05    -0.0005916458207286301     6.483935680483477e-06      
Lambda        AB|PS|PS_i                5605.694940448794     All      -0.00012974837063741692    -3.528679469534392e-05     -0.0007712429683517989     -3.647788508835003e-06     
MWEBV         All|All|All               All                   All      -0.47584020039995867       -2.718195459382855         0.0548056830360391         -0.7279631532270225        
Redshift      All|All|All               All                   All      5.615856183739537          0.03125760932203292        3.9011115799106197         -1.6449987908696253        
