#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5554.224992780504     All      0.9960239917184395         0.24693536686122286        -0.23878922594032514      -0.25465887583421537       
Zeropoint     AB|PS|PS_z                6383.1597855120135    All      0.5458651662439211         0.033274542472483404       -0.31692314643577413      -0.18111045434304196       
Zeropoint     AB|PS|PS_g                3610.9473536675177    All      -0.824593456279049         0.3054397794395314         -0.5049462679287547       0.3455555690593945         
Zeropoint     AB|PS|PS_r                4585.658006686157     All      0.2750792628827045         0.4117660885203378         1.0440172971573374        0.0911130929472927         
Check         All|All|All               All                   All      0.9923749645660159         0.9974157772935754         -0.01664134314751675      0.0008993318294298613      
Lambda        AB|PS|PS_i                5554.224992780504     All      -3.360434002039212e-05     -2.2200292976939168e-05    -0.0013824394630119765    -5.797725061537064e-05     
Lambda        AB|PS|PS_z                6383.1597855120135    All      0.00010398165176530279     -3.679710567744428e-05     -0.0010586716840817435    -9.309992774004754e-05     
Lambda        AB|PS|PS_g                3610.9473536675177    All      -0.0012899520331016122     0.0005357681848236324      -0.0008552259614426703    0.0005565323326409117      
Lambda        AB|PS|PS_r                4585.658006686157     All      -0.00014628967838526544    -0.00010302217283128783    -0.0006069647998880034    -1.2992401312924705e-05    
MWEBV         All|All|All               All                   All      -0.5196349210408004        -2.6960079025489136        -0.1183046178897279       -0.7141956723644971        
Redshift      All|All|All               All                   All      4.324083784224844          -0.10247650989168022       0.7463744562017621        -1.4085690532954018        
