#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5554.224992780504     All      1.055279264086917          0.25484076684563206        0.04795451789434305       -0.2585891623093681        
Zeropoint     AB|PS|PS_z                6383.1597855120135    All      0.5523952044494677         0.0169348282360815         -0.39939477101054355      -0.19224021493219243       
Zeropoint     AB|PS|PS_g                3610.9473536675177    All      -0.874407443378697         0.32863128837075095        -0.5903290424041321       0.36552561985018955        
Zeropoint     AB|PS|PS_r                4585.658006686157     All      0.2631119308979588         0.397110661659994          0.9401897821605569        0.08560414687883762        
Check         All|All|All               All                   All      0.9963789560556469         0.9975175451124585         -0.001579513359775575     0.000300389487466593       
Lambda        AB|PS|PS_i                5554.224992780504     All      1.113884505993273e-05      -2.3343291007458446e-06    -0.0010761119766505114    -5.2410591192768285e-05    
Lambda        AB|PS|PS_z                6383.1597855120135    All      0.00013828000341274186     -2.0172140446377848e-05    -0.0007539803803942689    -8.525975764597218e-05     
Lambda        AB|PS|PS_g                3610.9473536675177    All      -0.0014601544845316043     0.0005108182636629277      -0.0014706695726871702    0.0005763814386763484      
Lambda        AB|PS|PS_r                4585.658006686157     All      -0.00017826210610722822    -0.00011553251344468583    -0.0009419380154062633    -2.160127539026571e-05     
MWEBV         All|All|All               All                   All      -0.5058034430491474        -2.6948041068489914        -0.05243507442490985      -0.7153694687283573        
Redshift      All|All|All               All                   All      4.91297429552984           0.0033118128731857155      3.4942185379859296        -1.443307668714196         
