#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7601.863808726892     All      0.11617062735607128        0.0012155484512277326      0.14327492531261096       -0.031050949230298323     
Zeropoint     AB|SDSS|SDSS_g            4035.0422833367593    All      -0.7987883546163539        0.5466567871744488         -0.21879312220170816      0.42849201434826345       
Zeropoint     AB|SDSS|SDSS_u            3068.595382819665     All      -0.08303533606890907       0.04175829378052498        0.09848060476429078       0.045044127916007135      
Zeropoint     AB|SDSS|SDSS_r            5272.594015254688     All      0.7636939390262261         0.38738831061913004        -0.30588053584549785      -0.13622516671593787      
Zeropoint     AB|SDSS|SDSS_i            6393.941799075182     All      0.9945093081568899         0.023363771632745056       0.2885513195573564        -0.3034573308614941       
Check         All|All|All               All                   All      0.9925501838539241         1.0003827116580766         0.0056331915870521665     0.0028026954565402717     
Lambda        AB|SDSS|SDSS_z            7601.863808726892     All      -5.945648881996004e-06     3.5385479304390395e-08     -4.236559803313863e-06    1.759161455454852e-06     
Lambda        AB|SDSS|SDSS_g            4035.0422833367593    All      -0.0006831014231547482     0.0003694652690398491      -0.0009018669361517231    0.00030260942082795155    
Lambda        AB|SDSS|SDSS_u            3068.595382819665     All      -7.359030271743985e-05     3.8316627862364656e-05     0.00010061141782730631    4.094159440460765e-05     
Lambda        AB|SDSS|SDSS_r            5272.594015254688     All      0.0002122631961073545      7.7007849853835e-05        -0.001072741243337791     -9.19286308113345e-05     
Lambda        AB|SDSS|SDSS_i            6393.941799075182     All      -0.00028645741791228827    -2.2702370119160482e-05    -0.0004221531263662863    6.707494119900539e-05     
MWEBV         All|All|All               All                   All      -0.7407469626800389        -3.27173050245797          0.23620152548885678       -0.8138840165426573       
Redshift      All|All|All               All                   All      5.424547953421284          -0.6025876463739976        -1.1159387395935434       -2.01303557235166         
