#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3261.9836198724065    All      -0.14538777048865703       0.09809778801272984       0.12723364261915115       0.08498910994795134        
Zeropoint     AB|SDSS|SDSS_r            5604.882093055287     All      0.7710630997401147         0.27288349399370304       -0.39439848303486347      -0.1798736801049472        
Zeropoint     AB|SDSS|SDSS_i            6796.899171449501     All      0.8113364600079296         -0.012683184262840541     0.16085683381510396       -0.2612320058756029        
Zeropoint     AB|SDSS|SDSS_g            4289.337690928338     All      -0.6258322670547539        0.6510548417292483        0.009672148379358259      0.41635576322865614        
Zeropoint     AB|SDSS|SDSS_z            8080.946534496322     All      0.1774196324016332         -0.009258175890280995     0.07772506866177142       -0.05733859084210147       
Check         All|All|All               All                   All      0.9885991546062665         1.0000947635825597        -0.01891078955947867      0.0029005963539558977      
Lambda        AB|SDSS|SDSS_u            3261.9836198724065    All      -0.00013073403928162401    8.064361192600145e-05     6.403354360568117e-05     7.171017807218364e-05      
Lambda        AB|SDSS|SDSS_r            5604.882093055287     All      -5.478203068578058e-05     -5.856726320486019e-05    -0.0006472008703133053    -3.0114577117916105e-05    
Lambda        AB|SDSS|SDSS_i            6796.899171449501     All      -0.0005999837170962497     -3.827961919654057e-05    -0.0006657776079997085    0.00015325490736278473     
Lambda        AB|SDSS|SDSS_g            4289.337690928338     All      -0.0004913067172531633     0.0002883397077438686     -0.000836587787672947     0.00021662341957193423     
Lambda        AB|SDSS|SDSS_z            8080.946534496322     All      3.7753063391119777e-06     -7.770208826021928e-07    1.0056100473475063e-05    -1.0340851650970967e-06    
MWEBV         All|All|All               All                   All      -0.8217401007593677        -3.5353826265019705       0.1887333680531622        -0.8755003434264885        
Redshift      All|All|All               All                   All      4.906378376448817          0.7377114459412581        -0.13020262782421632      -1.3636823096154647        
