#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3261.9836198724065    All      -0.14324267084532338       0.09349952568911135        0.11323604045124684       0.08216792640920377        
Zeropoint     AB|SDSS|SDSS_r            5604.882093055287     All      0.8107375791612393         0.2756045101385496         -0.3371771806217593       -0.18935711490810123       
Zeropoint     AB|SDSS|SDSS_i            6796.899171449501     All      0.8269241781042681         0.002889911972836501       0.3480852497933289        -0.2528816244005686        
Zeropoint     AB|SDSS|SDSS_g            4289.337690928338     All      -0.6659634915375031        0.6355677237374735         -0.21125198763852632      0.4145243299571657         
Zeropoint     AB|SDSS|SDSS_z            8080.946534496322     All      0.16432415022548977        -0.006874108005838764      0.09232682195754398       -0.05164478293913518       
Check         All|All|All               All                   All      0.9927797451081707         1.0006875635321322         0.005218943941834128      0.00280873411856445        
Lambda        AB|SDSS|SDSS_u            3261.9836198724065    All      -0.00011036720580880833    6.990134972771525e-05      7.403589651881495e-05     6.20232812246258e-05       
Lambda        AB|SDSS|SDSS_r            5604.882093055287     All      -8.405032399336502e-05     -7.219068604945245e-05     -0.0007173956522082949    -2.8150998830170632e-05    
Lambda        AB|SDSS|SDSS_i            6796.899171449501     All      -0.0005981003859567202     -4.2737371683364555e-05    -0.0007737680585586277    0.00014637028998398167     
Lambda        AB|SDSS|SDSS_g            4289.337690928338     All      -0.00042428117352107597    0.00023075444971615226     -0.0007851415264033943    0.0001783293922214864      
Lambda        AB|SDSS|SDSS_z            8080.946534496322     All      6.628231942491634e-06      1.2861011771391342e-07     2.167799612594364e-05     -1.149751255870828e-06     
MWEBV         All|All|All               All                   All      -0.8334324064510104        -3.535112689753106         0.17727300210382563       -0.8721152710142905        
Redshift      All|All|All               All                   All      4.9508879428497545         0.9912753826453624         0.6609118264759101        -1.260282618885079         
