#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4654.723240607317     All      0.1798048719333929         0.62083551875034          2.0379751848765615        0.23460366356515835        
Zeropoint     AB|PS|PS_g                3665.3323346875623    All      -0.7400813087171514        0.3039109934629636        -0.48398407832863644      0.31846465258928075        
Zeropoint     AB|PS|PS_i                5637.877948979554     All      0.8389089921645356         0.1007959313664486        -1.9566660642729383       -0.3277447269066709        
Zeropoint     AB|PS|PS_z                6479.297444076987     All      0.7156006663536004         -0.027201151797306977     0.3979725549383417        -0.22419530232063667       
Check         All|All|All               All                   All      0.9942332217343774         0.9983412917824452        -0.004702402786671556     0.0011282869271315166      
Lambda        AB|PS|PS_r                4654.723240607317     All      -0.00013086130274461206    -9.998131856105052e-05    -0.0004901690182232323    -1.1815365248541145e-05    
Lambda        AB|PS|PS_g                3665.3323346875623    All      -0.0014239067914268084     0.000537391473201295      -0.001408572746727141     0.0005760012372398975      
Lambda        AB|PS|PS_i                5637.877948979554     All      -0.00016581481474131396    -7.461272386062901e-05    -0.0003099424844586372    1.5876211892459814e-05     
Lambda        AB|PS|PS_z                6479.297444076987     All      0.00016727832447946698     -3.697739761591615e-05    -0.000224817188547445     -7.656536707699775e-05     
MWEBV         All|All|All               All                   All      -0.48891129160704105       -2.772684197779185        -0.10181699159845792      -0.7484435941436915        
Redshift      All|All|All               All                   All      6.281872990645616          0.4426027385006748        3.170222617137153         -1.7605699523117757        
