#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4654.723240607317     All      0.2568594676408238         0.5488197404218909         2.2562742125549686         0.19578822146615565        
Zeropoint     AB|PS|PS_g                3665.3323346875623    All      -0.8816766969780063        0.30701086573650116        -0.9773272153619356        0.34358102091528414        
Zeropoint     AB|PS|PS_i                5637.877948979554     All      1.0243380840094345         0.15413763786273904        -1.3339518360144356        -0.3429810578764408        
Zeropoint     AB|PS|PS_z                6479.297444076987     All      0.5970327330899152         -0.01189762396514027       0.05510980501699992        -0.19588935301880342       
Check         All|All|All               All                   All      0.9965535877621672         0.9980706200559908         0.00010496619559730719     0.0004988314861955889      
Lambda        AB|PS|PS_r                4654.723240607317     All      -0.00011118035295769801    -0.00012125650883538829    -0.0008510030330521177     -4.1258492314602744e-05    
Lambda        AB|PS|PS_g                3665.3323346875623    All      -0.0015594199799998428     0.0005121921371784719      -0.0019996873086508306     0.0005855553602257821      
Lambda        AB|PS|PS_i                5637.877948979554     All      -0.00010136036559835379    -2.646814830901214e-05     -0.000139922768290988      1.8150748545106285e-05     
Lambda        AB|PS|PS_z                6479.297444076987     All      -6.1995290109143e-05       -2.574983443110053e-05     -0.00047107653555609894    -9.215644851186676e-06     
MWEBV         All|All|All               All                   All      -0.4854124865955147        -2.7731470044177087        -0.0974422705876392        -0.7495387976849188        
Redshift      All|All|All               All                   All      7.111981095388634          0.551637582405462          8.353933565238473          -1.7641220242819222        
