#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4936.281181547034     All      -0.02069219462734162      0.38507434498722404       0.2578368886889988         0.14367758741529593        
Zeropoint     AB|PS|PS_g                3887.0433520067672    All      -0.6682949273482792       0.5302254746695212        0.10723107057943417        0.395182755272698          
Zeropoint     AB|PS|PS_i                5978.905594347576     All      0.8744091142585613        0.07181812662384601       -1.29532332113724          -0.31923461974935413       
Zeropoint     AB|PS|PS_z                6871.221421677912     All      0.8111267606777477        0.01132645283554723       0.9291363314253667         -0.21905818581007336       
Check         All|All|All               All                   All      0.996548752960688         0.9984443991161385        -0.0011190304434403053     0.0005675371285664976      
Lambda        AB|PS|PS_r                4936.281181547034     All      -3.92966749353464e-05     -5.663787589001552e-05    -0.00031117482328651286    -1.9534902848508598e-05    
Lambda        AB|PS|PS_g                3887.0433520067672    All      -0.000597267932440158     0.0005143938448774049     0.00021239769005815265     0.0003715831468584788      
Lambda        AB|PS|PS_i                5978.905594347576     All      -9.207111143833398e-05    -1.949095591180815e-06    0.0005028465052202663      5.179543552518882e-05      
Lambda        AB|PS|PS_z                6871.221421677912     All      -0.0006478953112243242    -7.27769087173103e-06     -0.0005678751928071224     0.00018332857294397963     
MWEBV         All|All|All               All                   All      -0.4938473230749034       -3.026702159933592        0.03945434520864485        -0.8232734825944965        
Redshift      All|All|All               All                   All      4.955497186915187         0.33856234125497764       3.6089610187724563         -1.3428362169669           
