#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4936.281181547034     All      0.0074011969634438235      0.41218310112487444        0.3647592250269449        0.1481283120488997        
Zeropoint     AB|PS|PS_g                3887.0433520067672    All      -0.6886194054950583        0.5153687911025884         0.041251633987959835      0.3940194366299665        
Zeropoint     AB|PS|PS_i                5978.905594347576     All      0.8821150091468678         0.06463796929807586        -1.226819145392799        -0.3210264699568747       
Zeropoint     AB|PS|PS_z                6871.221421677912     All      0.795077237051799          0.006198008165370084       0.8190511506980691        -0.22041342711426498      
Check         All|All|All               All                   All      0.9959740376670524         0.9983878696909088         -0.0017571356798251614    0.0007078516077264618     
Lambda        AB|PS|PS_r                4936.281181547034     All      -0.00011632861688516051    -6.236019417082617e-05     -0.0005800268498428853    -8.30464355509477e-06     
Lambda        AB|PS|PS_g                3887.0433520067672    All      -0.0005315463656719169     0.00043951776363085267     0.00016879669854800167    0.00032384015537584553    
Lambda        AB|PS|PS_i                5978.905594347576     All      -0.00016189065957682521    -3.0712580596419026e-05    0.00017093463889390536    5.0357043813964574e-05    
Lambda        AB|PS|PS_z                6871.221421677912     All      -0.0005746202487781733     6.887506248730753e-07      -0.0004448820539457996    0.0001675440254112286     
MWEBV         All|All|All               All                   All      -0.5003342688406365        -3.024042061954013         0.04110247009081469       -0.8202204412739201       
Redshift      All|All|All               All                   All      4.7641786211181145         0.42117283790155113        2.5341358343017983        -1.3015730208199405       
