#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8303.05427303732      All      0.1985481783048646         0.004273754974537525       0.21408768615526858       -0.0537278209534382       
Zeropoint     AB|SDSS|SDSS_i            6983.7144037514845    All      0.7483695591704603         0.0859332749221231         1.006194781637803         -0.1708754394670874       
Zeropoint     AB|SDSS|SDSS_g            4407.231688902938     All      -0.5947943680351844        0.5299226181515237         -0.9133747741443663       0.32559760329932574       
Zeropoint     AB|SDSS|SDSS_u            3351.64041958947      All      -0.17562739444901465       0.1894860931574982         0.5054091908309497        0.14148356571672735       
Zeropoint     AB|SDSS|SDSS_r            5758.93430478113      All      0.8188327832681935         0.19122245973166585        -0.7987356595028592       -0.24007723416560894      
Check         All|All|All               All                   All      0.9953287582593194         1.0008382009373484         0.013581224976795703      0.0024006744299185645     
Lambda        AB|SDSS|SDSS_z            8303.05427303732      All      1.0198019907445529e-05     3.907875842046408e-06      5.1596713972891685e-05    2.5361750778079463e-07    
Lambda        AB|SDSS|SDSS_i            6983.7144037514845    All      -0.0005297952435047471     -5.953146787294688e-05     -0.0008154049285797786    0.00011679260599881778    
Lambda        AB|SDSS|SDSS_g            4407.231688902938     All      -0.00034607355741612       -1.2248462342395619e-05    -0.001965487054400354     2.102715590256543e-05     
Lambda        AB|SDSS|SDSS_u            3351.64041958947      All      -0.00012620293465812348    0.00011879346950501822     0.00027872052205273436    9.22414057603799e-05      
Lambda        AB|SDSS|SDSS_r            5758.93430478113      All      -0.0002763245042972149     -5.379161083080303e-05     0.00019323519357427392    8.110948370882324e-05     
MWEBV         All|All|All               All                   All      -0.860001391536549         -3.5777833747134835        0.6574203518377345        -0.8559333534121059       
Redshift      All|All|All               All                   All      7.037892505868649          0.8485863645235625         2.363693997840212         -1.9105798252902206       
