#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8303.05427303732      All      0.20713428436297276        0.019623622362718862       0.3736269956059912        -0.044405134723854434      
Zeropoint     AB|SDSS|SDSS_i            6983.7144037514845    All      0.692713468916955          0.07956633116830147        1.0729795009150056        -0.1518400475971654        
Zeropoint     AB|SDSS|SDSS_g            4407.231688902938     All      -0.6484993323610925        0.5260319634706079         -1.0870524184681152       0.334073327199208          
Zeropoint     AB|SDSS|SDSS_u            3351.64041958947      All      -0.16861703107059817       0.1993758817794955         0.6590965814056382        0.14927985162953294        
Zeropoint     AB|SDSS|SDSS_r            5758.93430478113      All      0.9095075917214693         0.17906715681563767        -0.9902390760822666       -0.2821183023873297        
Check         All|All|All               All                   All      0.9922389815697065         1.0036649555967614         0.02841158337625327       0.004989694120391408       
Lambda        AB|SDSS|SDSS_z            8303.05427303732      All      2.928733531843479e-05      7.6079730410762175e-06     0.0001083179263581085     -2.2279499564487647e-06    
Lambda        AB|SDSS|SDSS_i            6983.7144037514845    All      -0.0005011223585755821     -7.120904875857562e-05     -0.001004973604041915     9.518955246360397e-05      
Lambda        AB|SDSS|SDSS_g            4407.231688902938     All      -0.00027514851951027336    -0.00014225148165525637    -0.001992061745313486     -4.560762907261584e-05     
Lambda        AB|SDSS|SDSS_u            3351.64041958947      All      -7.986764524534117e-05     0.00010069488792976188     0.00037426887728913254    7.551705842466261e-05      
Lambda        AB|SDSS|SDSS_r            5758.93430478113      All      -0.0003136301918070925     -4.391207524073265e-05     0.0005552755791583175     0.00011263546283747536     
MWEBV         All|All|All               All                   All      -0.870297022639932         -3.575351053826914         0.7940699795621065        -0.8456893954354963        
Redshift      All|All|All               All                   All      6.463957946554684          1.2707576727402525         -1.7923754138667647       -1.7715816630339345        
