#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3061.3386836460263    All      -0.03724953500592296      0.0441544325710197         0.332576048831254         0.04135729194359103       
Zeropoint     AB|SDSS|SDSS_i            6378.82122878774      All      0.9565231793295339        0.02019063868274884        -0.30867799277380575      -0.31876919402501513      
Zeropoint     AB|SDSS|SDSS_z            7583.886711085491     All      0.050654460630667364      -0.0023747875992796708     -0.026755031497774362     -0.01846732493327105      
Zeropoint     AB|SDSS|SDSS_g            4025.5001038213286    All      -1.0567293988264466       0.5323475745834472         -1.0426343150664437       0.471086668483971         
Zeropoint     AB|SDSS|SDSS_r            5260.125239199152     All      1.0795726615233068        0.4060124514516872         1.0516066984590253        -0.17247234279567855      
Check         All|All|All               All                   All      0.9927713676511386        1.0003303096896232         0.006115407952255625      0.002735098673597308      
Lambda        AB|SDSS|SDSS_u            3061.3386836460263    All      -4.133793476917266e-05    3.743439838327222e-05      0.00023859293787584026    3.630604744020684e-05     
Lambda        AB|SDSS|SDSS_i            6378.82122878774      All      -0.0003530618455544512    -2.2319326029208792e-05    -0.0003037867204840444    9.417711362180076e-05     
Lambda        AB|SDSS|SDSS_z            7583.886711085491     All      -6.398855529739365e-06    -6.288785710625153e-07     -8.578110411907119e-06    1.4966696521972556e-06    
Lambda        AB|SDSS|SDSS_g            4025.5001038213286    All      -0.000880045183924471     0.000371718865599123       -0.0011831936972311488    0.00035494023224851034    
Lambda        AB|SDSS|SDSS_r            5260.125239199152     All      0.00039755555318051475    0.00012424634874397402     0.00032892886826769486    -7.43472148155917e-05     
MWEBV         All|All|All               All                   All      -0.6929904742529893       -3.287042121094075         0.1686102629686964        -0.8374436615030536       
Redshift      All|All|All               All                   All      6.130615125657059         -0.6782807084801945        -5.435425770922238        -2.4604394673464496       
