#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3061.3386836460263    All      -0.0474477208073152        0.034787046407913635       0.1582752806030201        0.03384966796672397       
Zeropoint     AB|SDSS|SDSS_i            6378.82122878774      All      0.9659787117436074         -0.012106401025135938      -0.3365301724719685       -0.33361229524345376      
Zeropoint     AB|SDSS|SDSS_z            7583.886711085491     All      0.07764392284372158        0.0002586334112208988      0.06069404648032224       -0.022498438131822975     
Zeropoint     AB|SDSS|SDSS_g            4025.5001038213286    All      -0.9882019206881159        0.5407211126264855         -0.8529840607177159       0.4599557710085584        
Zeropoint     AB|SDSS|SDSS_r            5260.125239199152     All      0.9863301024259242         0.43669697473731617        0.9805045960146642        -0.13527817525556973      
Check         All|All|All               All                   All      0.9943030955178223         1.0003573661578002         0.009959689908322189      0.0024165303444358965     
Lambda        AB|SDSS|SDSS_u            3061.3386836460263    All      -4.547354830260748e-05     3.583659657196813e-05      0.00018078360373130104    3.455293113542797e-05     
Lambda        AB|SDSS|SDSS_i            6378.82122878774      All      -0.00033490583478920047    -7.464760257039628e-06     -0.000193990055648321     9.800144524701657e-05     
Lambda        AB|SDSS|SDSS_z            7583.886711085491     All      -7.190081266740431e-06     -1.1888568773430095e-07    -5.980176095420117e-06    2.0364532423236398e-06    
Lambda        AB|SDSS|SDSS_g            4025.5001038213286    All      -0.0009049546836668336     0.00036837279899531647     -0.0014813867920925065    0.00034865716356530187    
Lambda        AB|SDSS|SDSS_r            5260.125239199152     All      0.00033723452972983037     0.00011662248143407979     7.856290101970841e-06     -7.151001190611746e-05    
MWEBV         All|All|All               All                   All      -0.6732741330977445        -3.2717651530681735        0.3584608540846232        -0.8304175514530409       
Redshift      All|All|All               All                   All      6.388161958345476          -0.6271935420905095        -2.3300039599071702       -2.389109460242107        
