#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6690.817471509127    All      1.4516500120923461         0.36961847902112765        3.9087378619250814        -0.17802424950732323      
Zeropoint     AB|PS|PS_g                3784.989010843054    All      -0.34814274133989          0.6060778356250296         2.3520453873662266        0.41578201792641456       
Zeropoint     AB|PS|PS_r                4806.679096321631    All      -0.4809237273775694        0.21402337376841274        -3.725202325569385        0.06012846336904767       
Zeropoint     AB|PS|PS_i                5821.929400347535    All      0.3885893316090332         -0.18481677445247868       -2.3768183179859235       -0.29284371844481544      
Check         All|All|All               All                  All      1.01117287498392           1.0049029139620913         0.15876260573599899       0.0050425133433235625     
Lambda        AB|PS|PS_z                6690.817471509127    All      -0.0011303043735784322     -0.0004986557343389095     -0.0026218773086931707    8.874639998324373e-05     
Lambda        AB|PS|PS_g                3784.989010843054    All      -0.000435537439516414      0.0006518398104396888      0.002176873868748337      0.00045133842670183226    
Lambda        AB|PS|PS_r                4806.679096321631    All      -7.375739559471602e-05     5.408738283307592e-05      -0.0009058075337256033    1.2212202955649058e-06    
Lambda        AB|PS|PS_i                5821.929400347535    All      -2.5781886070004494e-05    -1.1915332968297074e-05    0.0006073607655611555     3.1620514001167996e-05    
MWEBV         All|All|All               All                  All      -0.45982031274588575       -2.8836126996672817        0.22556366674974623       -0.7794430503507104       
Redshift      All|All|All               All                  All      5.359071201278201          2.1664371600230936         5.8955811550051545        -0.7768532322538769       
