#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6690.817471509127    All      1.4099753694843082         0.3935918040784969        4.2582169153419445        -0.141044901629956        
Zeropoint     AB|PS|PS_g                3784.989010843054    All      -0.20527886676707718       0.5727358689615158        3.0562587711817413        0.3898117874203556        
Zeropoint     AB|PS|PS_r                4806.679096321631    All      -0.5801245654975826        0.21823391636139888       -5.708156019762961        0.00532283620568591       
Zeropoint     AB|PS|PS_i                5821.929400347535    All      0.3866856638621641         -0.17971279778130622      -1.4222565264569442       -0.24796338950100055      
Check         All|All|All               All                  All      1.0112576010818126         1.0048487916201054        0.18406314030378068       0.00612633249508493       
Lambda        AB|PS|PS_z                6690.817471509127    All      -0.0012993226861581775     -0.0005391180109799924    -0.004026631081931692     6.793362115750593e-05     
Lambda        AB|PS|PS_g                3784.989010843054    All      -0.00035042199220583926    0.0005328888987754562     0.0015932095034923873     0.00035882104005203666    
Lambda        AB|PS|PS_r                4806.679096321631    All      -0.00013620045393395892    9.734969935814225e-05     -0.0008380260111268226    3.8677716536718715e-05    
Lambda        AB|PS|PS_i                5821.929400347535    All      -7.535546369783925e-05     -6.158657504415168e-05    0.000346220489883732      1.9935210347804192e-05    
MWEBV         All|All|All               All                  All      -0.4595315971613867        -2.867343907065134        0.41520918510503657       -0.7657748050633086       
Redshift      All|All|All               All                  All      5.997029982616166          2.550392234114085         11.2487523288116          -0.6207031529169029       
