#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5322.434200762743     All      0.6807875464035928         0.1662205983535614        -0.1440408644130975        -0.17403926595264685       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.5228497339100955        0.32692966914478205       -0.19597192827142118       0.2680557813946882         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      0.3192741382806321         -0.03999174680542339      0.0584905310888173         -0.11441455450387217       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.3889834668421762        0.14851449512605086       -0.054852486421452795      0.17263295483012642        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      1.128492155873587          -0.07228193924442294      0.0841426413604296         -0.387376727443528         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -0.28303117347823226       0.4865377825302275        0.25495576349411353        0.26205143179386103        
Check         All|All|All                              All                   All      0.9336894663273079         1.0159288591047755        0.0027236568373889547      0.02690962011862863        
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5322.434200762743     All      0.0002915986442372673      3.752409282350166e-05     -0.0005558709498107087     -0.00010756640766704649    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.00035420405733475863    0.0001097181441498182     -0.0010506495794138906     0.00010422905834034977     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      -5.952433449065342e-05     6.840347736770906e-06     -4.171675224258761e-05     1.9755533280192127e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.0005307687415694342     0.0001760819652242701     -0.00021679952795631316    0.00022056976269175548     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      4.700669801176675e-06      -5.146493781945545e-08    -6.086443905785609e-05     -4.264026999974729e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -9.41789833706307e-05      -5.990585534600486e-06    -0.0012940386656915593     -2.9021139857887108e-05    
MWEBV         All|All|All                              All                   All      -1.0731906772589643        -3.9883955580004127       -0.0030092827452365967     -0.9497124275171159        
Redshift      All|All|All                              All                   All      4.038703817584176          0.23413938799485834       6.279424306836678          -0.9590499347077175        
