#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5322.434200762743     All      0.6716748938621477         0.17769211682328034        -0.11070110936602824       -0.16584652411140496      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.48064830245790713       0.30449421733411697        -0.24075754754549153       0.2450028455303882        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      0.2983187932563496         -0.03173956786035603       0.08234991439389838        -0.10383596835333601      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.3125918800206651        0.1216096212271367         -0.02737917073517065       0.14021190711957116       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      1.0823926719634678         -0.0437445863728847        0.16427926058960324        -0.3594889249627286       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -0.2651597121234218        0.469955453535853          0.13294910323916664        0.24538410189024126       
Check         All|All|All                              All                   All      0.9939864644799709         0.9982672546871463         0.0007404505759778246      0.0014274371127310503     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5322.434200762743     All      0.0001785239583410034      1.9086169469535772e-05     -0.0005022206822107816     -7.434593561379307e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.00022956437231006272    4.306350772141159e-05      -0.0008405897947808451     5.1292207865308966e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      -6.685664793046958e-05     6.235395814119261e-06      -2.9870430872702186e-05    2.2475503164504444e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.0003576562263725051     0.00010017142337572734     -0.00038781076761294314    0.00013182331419715285    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      -0.00014051902773088034    9.10775487588133e-07       -0.0001016935068126435     4.1530225662910854e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -0.00011122145508174523    -0.00010188147048146631    -0.0015323709277876355     -6.534033632137694e-05    
MWEBV         All|All|All                              All                   All      -1.0877605856982187        -3.9774298449030354        0.017318185706839212       -0.9404875139293094       
Redshift      All|All|All                              All                   All      4.498038556825458          1.2241329640291454         6.1777141786798975         -0.7907357492889795       
