#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4224.555032456294     All      -0.7869122435271112        0.4955138372954693         -0.8845691911663944       0.37825410476637933       
Zeropoint     AB|SDSS|SDSS_i            6694.244349325288     All      0.9633192664309278         0.00033553752523118874     0.5917689481268718        -0.28726755146980953      
Zeropoint     AB|SDSS|SDSS_r            5520.230524777413     All      0.7555270371711837         0.4004807160482571         -0.14277168748976551      -0.12202151215277672      
Zeropoint     AB|SDSS|SDSS_z            7958.898508158291     All      0.14581142560345764        -0.010416028237436592      0.09337460390040768       -0.04672154172851413      
Zeropoint     AB|SDSS|SDSS_u            3212.7172794687294    All      -0.08208481665962405       0.11576275141305103        0.35619884651232275       0.08034098047063952       
Check         All|All|All               All                   All      0.995660669018834          1.001676814044572          0.014001519883442226      0.0025844798859184642     
Lambda        AB|SDSS|SDSS_g            4224.555032456294     All      -0.000707350925747694      0.000303573597991911       -0.0014364506024316288    0.00026518918280341106    
Lambda        AB|SDSS|SDSS_i            6694.244349325288     All      -0.0004293287316864435     -5.447919709442809e-05     -0.0006277582800757647    9.408685674971846e-05     
Lambda        AB|SDSS|SDSS_r            5520.230524777413     All      0.00014903933485909163     -1.7506758000801285e-05    -0.000987452102766291     -9.831499379116443e-05    
Lambda        AB|SDSS|SDSS_z            7958.898508158291     All      7.787141523188539e-06      6.370461551103519e-06      4.8872618642327974e-05    1.7195012318937825e-06    
Lambda        AB|SDSS|SDSS_u            3212.7172794687294    All      -5.3122934092127985e-05    7.901984331905663e-05      0.0002512590907628898     5.4255789200553915e-05    
MWEBV         All|All|All               All                   All      -0.7538547882048521        -3.4130076316630564        0.5466406136445701        -0.8417795046869375       
Redshift      All|All|All               All                   All      2.0921615854652433         -0.3177071349011129        -3.9283636674147315       -0.9602783527042914       
