#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4224.555032456294     All      -0.7407943098640626        0.4540017459598644         -0.9422612369769601        0.3471355916475842         
Zeropoint     AB|SDSS|SDSS_i            6694.244349325288     All      1.0273467121459312         -0.045994673528859664      0.4431979629738181         -0.32984471164409707       
Zeropoint     AB|SDSS|SDSS_r            5520.230524777413     All      0.6466600861275259         0.48725656796158034        0.08473439438860808        -0.04814166323606067       
Zeropoint     AB|SDSS|SDSS_z            7958.898508158291     All      0.15130254558809997        -0.018373391979942255      0.07563243830603916        -0.05189390668407651       
Zeropoint     AB|SDSS|SDSS_u            3212.7172794687294    All      -0.09004389383314637       0.12474245674791717        0.347706835341266          0.08547953974684594        
Check         All|All|All               All                   All      0.9944711401643485         1.00163270516056           0.009010394032771263       0.002734849830195868       
Lambda        AB|SDSS|SDSS_g            4224.555032456294     All      -0.0007312574196793619     0.0003640262383255958      -0.0013181213654660398     0.0002979482185459643      
Lambda        AB|SDSS|SDSS_i            6694.244349325288     All      -0.00037114288213883537    -2.8193629849071183e-05    -0.00043237953817963767    9.241474122448007e-05      
Lambda        AB|SDSS|SDSS_r            5520.230524777413     All      0.00018853345582555043     6.44012659227725e-05       -0.0007151732081815921     -7.234883368848732e-05     
Lambda        AB|SDSS|SDSS_z            7958.898508158291     All      7.4998225737211395e-06     2.6243240886069365e-06     2.6034734257321995e-05     -4.2629963904270016e-07    
Lambda        AB|SDSS|SDSS_u            3212.7172794687294    All      -7.187675140441285e-05     9.664786626366976e-05      0.0002661437661782177      6.677078620016236e-05      
MWEBV         All|All|All               All                   All      -0.7496229829454095        -3.4335319873795456        0.4109005836502977         -0.8559008548775393        
Redshift      All|All|All               All                   All      1.85507332291192           -0.6671059980330796        -4.397142241309471         -1.0177810449525724        
