#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6700.289032777559     All      0.9144905703316129         0.02801151196987206        0.8163778887772161        -0.25232419791506916      
Zeropoint     AB|SDSS|SDSS_r            5525.215112187822     All      0.7522740111507533         0.26230683182859593        -0.9450674872077048       -0.2017724511627404       
Zeropoint     AB|SDSS|SDSS_g            4228.369667322509     All      -0.6869183972614992        0.636452011394617          -0.15343189855094727      0.4242183187474386        
Zeropoint     AB|SDSS|SDSS_u            3215.6182579754354    All      -0.12297220230784646       0.07761377512220946        0.16825413556897797       0.07284586123876415       
Zeropoint     AB|SDSS|SDSS_z            7966.085132906374     All      0.13551288384941323        -0.0035942914060171915     0.12239646233458577       -0.03984979150345022      
Check         All|All|All               All                   All      0.992386865762434          1.0007898389092773         0.008529100922127678      0.0031177394049429624     
Lambda        AB|SDSS|SDSS_i            6700.289032777559     All      -0.00044176811410347075    -2.1364280273397922e-05    -0.0005779358480606703    0.0001111487370181632     
Lambda        AB|SDSS|SDSS_r            5525.215112187822     All      0.00013773984095508948     2.609228890827321e-05      -0.0005037680072647119    -5.884813323846313e-05    
Lambda        AB|SDSS|SDSS_g            4228.369667322509     All      -0.0005415774393331288     0.00026838741166273177     -0.0015602885975374875    0.00019420368505968235    
Lambda        AB|SDSS|SDSS_u            3215.6182579754354    All      -8.000104434483399e-05     5.2107504016622845e-05     0.0001227622719335214     4.8510416813143084e-05    
Lambda        AB|SDSS|SDSS_z            7966.085132906374     All      1.0109220908229976e-05     9.415239314657073e-07      3.03727045547483e-05      -1.630826206111971e-06    
MWEBV         All|All|All               All                   All      -0.8158219543532037        -3.4706632354270184        0.28317638800091827       -0.852132285315208        
Redshift      All|All|All               All                   All      2.264873468787464          0.1300990600194396         -2.3459956252574075       -0.8000572669147523       
