#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6700.289032777559     All      0.916657960444113          0.02775419907479204        0.9396336381326087        -0.24761366545444743      
Zeropoint     AB|SDSS|SDSS_r            5525.215112187822     All      0.7495095101486455         0.24686368744610832        -1.1305254127501052       -0.21417843786622204      
Zeropoint     AB|SDSS|SDSS_g            4228.369667322509     All      -0.7329469762185863        0.6604339785784674         -0.11830243746646651      0.4485907234085172        
Zeropoint     AB|SDSS|SDSS_u            3215.6182579754354    All      -0.11238902281369491       0.07107377896460321        0.15506600154743255       0.06667975374276755       
Zeropoint     AB|SDSS|SDSS_z            7966.085132906374     All      0.1714008681005749         -0.005006955520769907      0.16497611426817826       -0.05009970552658123      
Check         All|All|All               All                   All      0.9922323396610522         1.001118688543201          0.01084790373164779       0.003378668304034063      
Lambda        AB|SDSS|SDSS_i            6700.289032777559     All      -0.00047498440336354343    -2.7296307434649564e-05    -0.0007419989232243793    0.00011271473727920322    
Lambda        AB|SDSS|SDSS_r            5525.215112187822     All      0.00016188647201454028     2.3924578104183627e-05     -0.0005636591798189833    -7.009224806044215e-05    
Lambda        AB|SDSS|SDSS_g            4228.369667322509     All      -0.0005599343889501817     0.00026605335399917815     -0.0014895087674602018    0.0002025814468427727     
Lambda        AB|SDSS|SDSS_u            3215.6182579754354    All      -7.061228427675149e-05     4.861441032461391e-05      0.00012899971631031217    4.4592721738071064e-05    
Lambda        AB|SDSS|SDSS_z            7966.085132906374     All      1.1006014837310604e-05     3.4895137763520953e-06     5.721119101558921e-05     1.0470101243557443e-07    
MWEBV         All|All|All               All                   All      -0.805526212568954         -3.4746282273424356        0.30387200002108816       -0.8558539253324406       
Redshift      All|All|All               All                   All      2.634244556190907          0.1380662689033585         -1.0860729930280422       -0.8615538395219512       
