#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6686.698778082529     All      1.50829934784303           -0.8210448656713609      -1.7002840782443829       -0.8346199127797627       
Zeropoint     AB|PS|PS_g                3782.6590699314856    All      -0.35856661028240355       0.3743062065989733       0.43653712468729194       0.25820143419007685       
Zeropoint     AB|PS|PS_r                4803.720229534114     All      -0.5211077540558741        0.21701799714168857      -1.8773530681202986       0.156654195721525         
Zeropoint     AB|PS|PS_i                5818.345571846245     All      0.3681228730724355         1.2149845178939245       3.066375043115778         0.41268893346200347       
Check         All|All|All               All                   All      0.9967478565771875         0.9852638559632254       -0.07472497856161153      -0.007075349406157283     
Lambda        AB|PS|PS_z                6686.698778082529     All      -0.0014385557233167908     0.0008361299058093611    0.0014910946548348798     0.0008074806504360035     
Lambda        AB|PS|PS_g                3782.6590699314856    All      -0.0006670468028276815     0.0007091755848264886    0.0009173797224281332     0.0004892193516699754     
Lambda        AB|PS|PS_r                4803.720229534114     All      -0.00028744853335313395    0.0001877428794485458    -0.0005666471472943316    0.00012949861681509978    
Lambda        AB|PS|PS_i                5818.345571846245     All      -0.0002568788381744367     -7.81040011468131e-05    0.0005573364027305255     8.310420983768913e-05     
MWEBV         All|All|All               All                   All      -0.44453910544063957       -2.9370817214456224      -0.051069649525179804     -0.8141821361530726       
Redshift      All|All|All               All                   All      10.152516415540546         -7.261762060343102       -27.96607894849013        -6.920401072256285        
